"න්‍ගරය","","","","","කාලගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධ්‍පුරය","34","25","90","60","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති  විය  ැක"
"මඩකලපුව","31","26","90","75","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හව්"
"හකාළඹ","31","26","90","65","වැසි වාර කිහිපයක්"
"ගාල්ල","30","26","90","75","වැසි වාර කිහිපයක්"
"යාපනය","31","24","90","70","වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හව්"
"ම නුවර","30","20","95","60","වැසි වාර කිහිපයක්"
"නුවරඑළිය","21","12","90","60","වැසි වාර කිහිපයක්"
"රත්නපුරය","34","23","95","95","වැසි වාර කිහිපයක්"
"ිකුණාමලය","33","24","90","60","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හව්"
