"","","","","Date :","12-Mar-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","31","23","95","70","Several spells of showers"
"Batticaloa","29","23","95","80","Several spells of showers"
"Colombo","30","24","90","70","Showers or thundershowers after 2.00p.m"
"Galle","30","25","90","75","Showers or thundershowers after 2.00p.m"
"Jaffna","31","24","95","70","Several spells of showers"
"Kandy","27","21","95","85","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","19","12","95","90","Several spells of showers"
"Ratnapura","32","22","95","80","Showers or thundershowers after 2.00p.m"
"Trincomalee","30","25","95","80","Several spells of showers"
"Mannar","32","24","95","65","Several spells of showers"
