"","Weather Forecast for Main Cities","","","","17-May-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","24","95","60","Showers or thundershowers after 2.00p.m"
"Batticaloa","32","26","95","75","Showers or thundershowers after 2.00p.m"
"Colombo","32","25","95","70","Showers or thundershowers"
"Galle","31","25","95","70","Showers or thundershowers"
"Jaffna","32","23","95","65","Showers or thundershowers are likely after 2.00p.m"
"Kandy","31","23","95","65","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","22","15","95","80","Showers or thundershowers after 2.00p.m"
"Ratnapura","35","25","95","65","Showers or thundershowers"
"Trincomalee","33","25","95","65","Showers or thundershowers after 2.00p.m"
"Mannar","34","25","95","70","Several spells of showers"
