"","Weather Forecast for Main Cities","","","","28-Apr-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","26","90","50","Showers or thundershowers are likely after 2.00p.m"
"Batticaloa","32","27","90","70","Mainly fair"
"Colombo","32","27","95","75","Showers or thundershowers after 4.00p.m"
"Galle","31","26","95","75","Showers or thundershowers after 2.00p.m"
"Jaffna","36","25","80","40","Mainly fair"
"Kandy","34","24","95","50","Showers or thundershowers are likely after 4.00p.m"
"Nuwara-Eliya","22","13","95","50","Showers or thundershowers are likely after 4.00p.m"
"Ratnapura","34","25","95","70","Showers or thundershowers after 2.00p.m"
"Trincomalee","34","25","90","60","Mainly fair"
"Mannar","34","26","85","50","Showers or thundershowers are likely after 4.00p.m"
