"","Weather Forecast for Main Cities","","","Date :","21-Dec-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","24","95","75","Showers or thundershowers are likely after 2.00p.m"
"Batticaloa","30","26","95","70","Showers or thundershowers after 2.00p.m"
"Colombo","31","25","90","75","Showers at times"
"Galle","30","26","90","75","Showers at times"
"Jaffna","31","24","95","70","Mainly fair"
"Kandy","30","21","95","65","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","20","15","95","75","Showers or thundershowers after 2.00p.m"
"Ratnapura","33","24","95","75","Showers or thundershowers after 2.00p.m"
"Trincomalee","32","24","95","75","Showers or thundershowers are likely after 2.00p.m"
"Mannar","31","26","95","70","Mainly fair"
