"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධ්‍පුරය","32","24","90","65","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
"මඩකලපුව","32","25","95","70","වැසි ස්වල්පයක්"
"","","","","","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති විය"
"හකාළඹ","32","24","90","75",""
"","","","","","ැක"
"","","","","","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති විය"
"ගාල්ල","28","25","90","75",""
"","","","","","ැක"
"යාපනය","31","24","95","75","වැසි ස්වල්පයක්"
"","","","","","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති විය"
"ම නුවර","29","21","95","60",""
"","","","","","ැක"
"","","","","","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති විය"
"නුවරඑළිය","22","14","90","60",""
"","","","","","ැක"
"","","","","","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති විය"
"රත්නපුරය","31","24","95","70",""
"","","","","","ැක"
"ත්‍රිකුණාමලය","31","25","95","70","වැසි ස්වල්පයක්"
