"","Weather Forecast for Main Cities","","","","26-Nov-2023"
"","","Temperature (0C)","Relative Humidity (%)","",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","24","90","65","Mainly fair"
"Batticaloa","32","25","95","70","A few showers"
"Colombo","32","24","90","75","Showers or thundershowers are likely after 2.00p.m"
"Galle","28","25","90","75","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","31","24","95","75","A few showers"
"Kandy","29","21","95","60","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","22","14","90","60","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","31","24","95","70","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","31","25","95","70","A few showers"
"Mannar","30","25","90","70","A few showers"
