"","","","","People","","","","","","","","","","",""
"","DS Division
District","","Families","","","","","Fully","Partially","சேதங் கள்","","","","",""
"","","","","","","","","","","","critical","of Safety","Families","",""
"","","","","","","","","","","Small, Medium,","","","","",""
"","","","","","","","","","","","Infrastructure","Locations","","",""
"","","","","","","","","","","Enterprises","","","","",""
"","","","","","","","","","","Damages","","","","",""
"","ක ොළඹ","","","","","","","","","","","","","",""
"","1
Kaduwela
High Wind
nfhOk;G","2021.08.28","30","92","","","","","30","","","","","","Minor Damages"
"","Colombo","","","","","","","","","","","","","",""
"","දිස්ික් එ තුෙ khtl;l $l;Lj;njhif District Total","","30","92","0","0","0","0","30","0","0","0","0","0",""
"Western","","","","","","","","","","","","","","",""
"Nky;","","","","","","","","","","","","","","",""
"","Aththanagalla
ගම්පහ","","145","702","","2","","","145","4","","","","",""
"khfhzk;","","","","","","","","","","","","","","",""
"බස්නොහිර පලොත","2
High Wind
fk;g`h","2021.08.28","","","","","","","","","","","","","Minor Damages"
"","Gampaha
Ja Ela","","7","28","","","","","7","1","","","","",""
"","දිස්ික් එ තුෙ khtl;l $l;Lj;njhif District Total","","152","730","0","2","0","0","152","5","0","0","0","0",""
"","පළොත් ඵ තුෙ khfhz $l;Lj;njhif  Province Total","","182","822","0","2","0","0","182","5","0","0","0","0",""
"","Kuruvita
High Wind","2021.08.29","14","47","","","","","14","","","","","","Minor Damages"
"","රත්නපුර","","","","","","","","","","","","","",""
"","3
,uj;jpdGhp","","","","","","","","","","","","","",""
"සබරගමුෙ පලොත","","","","","","","","","","","","","","",""
"","Rathnapura","","","","","","","","","","","","","",""
"rg;ufKt","Rathnapura","","6","27","","","","","6","","","","","",""
"Sabaragamuw","","","","","","","","","","","","","","",""
"a","","","","","","","","","","","","","","",""
"","දිස්ික් එ තුෙ khtl;l $l;Lj;njhif District Total","","20","74","0","0","0","0","20","0","0","0","0","0",""
"","පළොත් ඵ තුෙ khfhz $l;Lj;njhif  Province Total","","20","74","0","0","0","0","20","0","0","0","0","0",""
