"","","","","","","","Page 2","","","","","","","","","","Situation Report on 2019.11.05 at 1800 hrs.xlsx"
"","","නපොනලොන රුව","","","","","","","","","","","","","","",""
"උතුරුමැද පලොත","8","nghyd;dWit","Thamankaduwa","High wind","2020.11.23","1","3","","","","","1","","","","",""
"tlkj;jpa","","Polonnaruwa","","","","","","","","","","","","","","",""
"khfhzk;     North","","","","","","","","","","","","","","","","",""
"Central","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","1","3","0","0","0","0","1","0","0","0","0","0"
"","","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","1","3","0","0","0","0","1","0","0","0","0","0"
"","","මඩකලපුව","","","","","","","","","","","","","","",""
"","9","kl;lf;fsg;G","Manmunaipattu","High Wind","2020.11.25","8","28","","","","","8","","1","","",""
"","","Batticaloa","","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","8","28","0","0","0","0","8","0","1","0","0","0"
"","","","Kanthale","","2020.11.25","1","4","","","","","1","","","","",""
"","","","Seruwila","","2020.11.26","1","1","","","","","1","","","","",""
"ැනෙ හිර පලොත","","","","","","","","","","","","","","","","",""
"fpof;F","","ත්‍රීකුණොමලය","","","2020.11.22","1","5","","2","","","","","","","",""
"Eastern","10","jp.kiy","Town & Gravets","High Wind","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","01 Person died due to Boat"
"","","Trincomalee","","","2020.11.25","1","5","1","","","","","","","","",""
"","","","","","","","","","","","","","","","","","capsize"
"","","","Kinniya","","","2","6","","","","","2","","","","",""
"","","","","","2020.11.23","","","","","","","","","","","",""
"","","","Morawewa","","","1","5","","","","","1","","","","",""
"","","","Thambalakakam","","2020.11.24","1","3","","","","","1","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","8","29","1","2","0","0","6","0","0","0","0","0"
"","","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","16","57","1","2","0","0","14","0","1","0","0","0"
"","","රත් පුර","Embilipitiya","High Wind","2020.11.25","5","22","","","","","","","","","",""
"","11",",uj;jpdGhp","","","","","","","","","","","","","","",""
"ස්ත්‍බරෙමුව පලොත","","","","","","","","","","","","","","","","",""
"","","Rathnapura","Eheliyagoda","Lightning","2020.11.24","1","4","","","","","1","","","","",""
"rg;ufKt","","","","","","","","","","","","","","","","",""
"Sabaragamuwa","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","6","26","0","0","0","0","1","0","0","0","0","0"
