"","","24th Nov.","25th Nov."
"Province","23rd Nov.","",""
"Northern","F
airly Strong winds","S
trong winds","S
trong winds"
"","(30-40) kmph","(40-50) kmph at times","(50-60) kmph at times"
"North-Central","F
airly Strong winds","S
trong winds","S
trong winds"
"","(30-40) kmph","(40-50) kmph at times","(50-60) kmph at times"
"Eastern","F
airly Strong winds","S
trong winds","S
trong winds"
"","(30-40) kmph","(40-50) kmph at times","(50-60) kmph at times"
"","Fairly Strong winds","S","S"
"North-Western","","trong winds","trong winds"
"","(30-40) kmph","",""
"","","(40-50) kmph at times","(40-50) kmph at times"
"","Fairly Strong winds","Fairly Strong winds","Strong winds"
"Southern","","",""
"","(30-40) kmph","(30-40) kmph","(40-50) kmph at times"
"","Fairly Strong winds","Fairly Strong winds","S"
"Other Provinces","","","trong winds"
"","(30-40) kmph","(30-40) kmph",""
"","","","(40-50) kmph at times"
