"","Weather Forecast for Main Cities","","","","26-Nov-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","27","23","95","90","Showers or thundershowers at times"
"Batticaloa","28","24","95","90","Showers or thundershowers at times"
"Colombo","29","24","95","75","Showers or thundershowers at times"
"Galle","29","24","95","75","Showers or thundershowers at times"
"Jaffna","28","24","95","85","Showers or thundershowers at times"
"Kandy","27","21","95","75","Showers or thundershowers at times"
"Nuwara-Eliya","18","14","95","80","Showers or thundershowers at times"
"Ratnapura","30","23","95","80","Showers or thundershowers at times"
"Trincomalee","26","23","95","85","Showers or thundershowers at times"
"Mannar","27","23","95","85","Showers or thundershowers at times"
