"අනුරාධ්‍පුර        
Thambuttegama
High Wind","2023.05.02","1","4","","","","","1","","","","",""
"උතුරුමැද පලාත 
13
m.Guk;","","","","","","","","","","","","",""
"tlkj;jpa 
Horowpothana
Heavy Rain
Anuradhapura","2023.05.01","1","1","","","","","1","","","","",""
"khfhzk;","","","","","","","","","","","","",""
"දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","2","5","0","0","0","0","2","0","0","0","0","0"
"North Central","","","","","","","","","","","","",""
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","2","5","0","0","","0","2","0","0","0","0","0"
"හම්බන්ගතාට","","","","","","","","","","","","",""
"14
Beliaththa
High Wind
`k;ghe;Njhl;il","2023.05.06","1","6","","","","","1","","","","",""
"දකුනු පලාත","","","","","","","","","","","","",""
"Hambantota","","","","","","","","","","","","",""
"njd; khfhzk;","","","","","","","","","","","","",""
"Southern
දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","1","6","0","0","0","0","1","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","1","6","0","0","0","0","1","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","578","2115","0","7","0","3","218","3","3","2","82","283"
"","","","","ආපදා කළමනාකරණ මධ්‍යස්ථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","",""
