"","Weather Forecast for Main Cities","","","Date :","3-Jul-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","24","90","55","A few showers"
"Batticaloa","35","26","85","50","Showers or thundershowers are likely after 2.00p.m"
"Colombo","30","27","85","70","Several spells of showers"
"Galle","29","27","90","75","Several spells of showers"
"Jaffna","32","24","95","65","A few showers"
"Kandy","29","23","85","65","Several spells of showers"
"Nuwara-Eliya","19","14","90","65","Several spells of showers"
"Ratnapura","32","24","95","65","Several spells of showers"
"Trincomalee","34","26","80","50","Mainly fair"
"Mannar","31","27","85","70","A few showers"
