"","Weather Forecast for Main Cities","","","Date :","19-Aug-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","26","80","55","Mainly fair"
"Batticaloa","36","25","75","45","Mainly fair"
"Colombo","31","25","85","70","Several spells of light showers"
"Galle","29","27","90","75","Several spells of light showers"
"Jaffna","32","27","85","70","Mainly fair"
"Kandy","30","23","85","70","A few showers"
"Nuwara-Eliya","19","14","90","80","Mainly fair"
"Ratnapura","33","25","95","75","Several spells of light showers"
"Trincomalee","35","27","80","60","Mainly fair"
"Mannar","31","27","85","75","Mainly fair"
