"","Weather Forecast for Main Cities","","","","30-Jun-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","26","90","60","Mainly fair"
"Batticaloa","36","26","90","55","Showers or thundershowers are likely after 2.00p.m"
"Colombo","31","26","90","70","A few showers"
"Galle","30","26","90","80","Several spells of showers"
"Jaffna","33","28","85","75","Mainly fair"
"Kandy","30","21","95","65","Mainly fair"
"Nuwara-Eliya","20","11","95","70","A few showers"
"Ratnapura","33","23","95","60","Several spells of showers"
"Trincomalee","35","26","85","50","Showers or thundershowers are likely after 4.00p.m"
"Mannar","32","28","85","80","Mainly fair"
