"","khtl;lk ;","","","","FLk;gq;f","egHfs;","","","","","","","","","","egHfs; 
FLk;gq;",""
"","","nra.gp    DS Division","","","","","","","","KOik","sT","Kaw;rpfs;","fl;likg;Gf;fs;","","if","",""
"","District","","","","s;","People","","People","g","","","","","","","fs; 
Persons",""
"","","","","","","","","","","","Partiall","Small, Medium,","Damages to","","Safety","",""
"","","","","","","","","","People","Fully","","","","","","",""
"","","","","","Families","","","","","","","Enterprises","","","","Families",""
"","","","","","","","","","","","y","","critical","","Location","",""
"","","","","","","","","","","","","Damages","Infastructure","","","",""
"","","","","","","","","","","","","","","","s","",""
"","","Delft","","2018.03.05","1031","3071","","","","","","","","","","",""
"","","Velanai","","2018.04.03","2721","9508","","","","","","","","","","",""
"","","Kaits","","2018.03.06","2147","7293","","","","","","","","","","",""
"","","Kareinagur","","2018.03.04","3559","10658","","","","","","","","","","",""
"","","Jaffna","","2018.03.12","40","178","","","","","","","","","","",""
"","","Nallur","","2018.03.04","319","1101","","","","","","","","","","",""
"","","Kopai","","","1775","6415","","","","","","","","","","",""
"","","Chekanai","Drought","","1528","5114","","","","","","","","","","",""
"","යාප ය","","","","","","","","","","","","","","","",""
"","","Sandilipai","","","1635","6253","","","","","","","","","","",""
"1","aho;g;ghzk;","","","","","","","","","","","","","","","",""
"","","Uduvil","","","583","2288","","","","","","","","","","",""
"","Jaffna","","","","","","","","","","","","","","","",""
"","","Telippalay","","2018.03.12","1755","5644","","","","","","","","","","",""
"","","Chawakachcheri","","","11640","47198","","","","","","","","","","",""
"","","Karaweddi","","","674","2124","","","","","","","","","","",""
"","","Point pedro","","","300","990","","","","","","","","","","",""
"උතුරු","","","","","","","","","","","","","","","","",""
"","","Maruthankerny","","","697","2308","","","","","","","","","","",""
"පලාත/tl","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","The two fishermen who"
"khfhzk;/","","","","","","","","","","","","","","","","","went for fisharing are"
"","","Thellipalai","High Wind","2018.06.14","4","13","","","2","","2","","","","","",""
"Northen/","","","","","","","","","","","","","","","","","missing since 10/06/2018"
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","30408","110156","0","0","2","0","2","0","","0","0","0","0"
"","","Vengalacheddikulam","","2018.03.14","635","2945","","","","","","","","","","",""
"","වව්නියාව tTdpah","","","","","","","","","","","","","","","",""
"2","","Vavuniya North","Drought","2018.04.09","115","446","","","","","","","","","","",""
"","Vavuniya","","","","","","","","","","","","","","","",""
"","","Vavuniya South","","2018.05.05","78","257","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","828","3648","0","0","0","0","0","0","","0","0","0","0"
"","","Karachchi","","2018.06.03","15021","51154","","","","","","","","","","",""
"","කිලින ොච්චිය","","","","","","","","","","","","","","","",""
"","","Kandawalai","","","1231","4282","","","","","","","","","","",""
"3","fpspnehr;rp","","Drought","","","","","","","","","","","","","",""
"","","Poonakary","","2018.04.04","2694","9849","","","","","","","","","","",""
"","Killinochchi","","","","","","","","","","","","","","","",""
"","","Pachchilaipallai","","","2326","6978","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","21272","72263","0","0","0","0","0","0","","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","52508","186067","0","0","2","0","2","0","","0","0","0","0"
"","","","දැඩි සුලග සහ දැඩි","","","","","","","","","","","","","",""
"","","","වර්ෂාව/fLk;","","","","","","","","","","","","","",""
"","නුවර","","","","","","","","","","","","","","","",""
"","","","kioAk;","","","","","","","","","","","","","",""
"4","fz;b","Pasbage","","2018.05.21","262","1180","","3","","2","33","1","","1","1","9","45 Safety Locations(ri"
"","","","fhw;Wk;/Heavy","","","","","","","","","","","","","","Nawlpitiy Old Town Hall"
"","Kandy","","","","","","","","","","","","","","","",""
"","","","Rain and High","","","","","","","","","","","","","",""
"","","","Wind","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","262","1180","0","3","0","2","33","1","","1","1","9","45"
"","","","","","","","","","","","","","","","","","Albian Day care centre,"
"මධ්‍යම","","","","","","","","","","","","","","","","",""
