"","khtl;lk ;","","FLk;gq;f","egHfs;","","Injured","Missin","","","","","","","FLk;gq;","egHfs;",""
"","nra.gp    DS Division","","","","","","","KOik","sT","Kaw;rpfs;","","fl;likg;Gf;fs;","if","","",""
"","District","","s;","People","","People","g","","","","","","","fs;","Persons",""
"","","","","","","","","","Partiall","Small, Medium,","","Damages to","Safety","","",""
"","","","","","","","","Fully","","","","","","","",""
"","","","Families","","","","People","","","","","","","Families","",""
"","","","","","","","","","y","Enterprises","","critical","Location","","",""
"","","","","","","","","","","Damages","","Infastructure","","","",""
"","","","","","","","","","","","","","s","","",""
"","නුවරඑලිය 
Walapane","Tree Fallean
2018.11.05","","2","3","","","","","","","","","","",""
"මධයම","","","","","","","","","","","","","","","",""
"","Etnuypah","","","","","","","","","","","","","","",""
"පලාත/kj;jpa","1
Hanguranketha","Cutting Failure
2018.10.21","6","23","","","","","4","","","","1","1","","5 Delpathkada community"
"","Nuwara Eliya","","","","","","","","","","","","","","","Hall"
"khfhzk;/","","","","","","","","","","","","","","","",""
"Central","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","6","23","2","3","0","0","4","","0","0","1","1","5",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","6","23","2","3","0","0","4","","0","0","1","1","5",""
"","ගාල්ල","","","","","","","","","","","","","","","Safe Location -"
"දකුනු","","Flood / Cutting","","","","","","","","","","","","","",""
"","2
Baddegama
fhyp","2018.10.06","116","405","","","","","5","","","","1","1","4","Wanduramba"
"පලාත/njd;","","failure","","","","","","","","","","","","","",""
"","Galle","","","","","","","","","","","","","","","Quarters Office"
"khfhzk;/","","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif    District Total","","116","405","0","0","0","0","5","","0","0","1","1","4",""
"Southern/","","","","","","","","","","","","","","","",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","116","405","0","0","0","0","5","","0","0","1","1","4",""
"","බදුල්ල","","","","","","","","","","","","","","",""
"ඌව/Cth","3
Haldummulla","Heavy Rain
2018.10.08","6","29","","","","","6","","","","1","6","","29 Safe location - Koslan"
"","gJs;is Badulla","","","","","","","","","","","","","","","da tea Factory"
"khfhzk;/U","","","","","","","","","","","","","","","",""
"va","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","6","29","0","0","0","0","6","","0","0","1","6","29",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","6","29","0","0","0","0","6","","0","0","1","6","29",""
"","Arachchikattuwa","","263","931","","","","","","","","","","","",""
"","Pallama","","32","118","","","","","6","","5","","","","",""
"","Karuwalagaswewa","","65","243","","","","","","","","","","","",""
"වයඹ","පුත්තලම","","","","","","","","","","","","","","",""
"","Nawagaththegama","Heavy Rain &","35","128","","","","","","","","","","","",""
"පලාත/tlNk","6
Gj;jsk;","2018.11.01 / 06","","","","","","","","","","","","","",""
"y;","Mahawewa","Flood","61","236","","","","","1","","","","","","",""
"","Puttalam","","","","","","","","","","","","","","",""
"khfhzk;/","Madampe","","16","53","","","","","","","","","","","",""
"North","Mundalama","","23","81","","","","","","","","","","","",""
"Western/","Chilaw","","50","220","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","545","2010","0","0","0","0","7","","5","0","0","0","0",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","545","2010","0","0","0","0","7","","5","0","0","0","0",""
"","කළුතර 
Walallavita","","58","176","","","","","58","","1","","","","",""
"","","Heavy Rain/ High","","","","","","","","","","","","","",""
"Western/","5
fSj;Jiw","2018.11.04","","","","","","","","","","","","","",""
"","Palindanuwara","Wind","2","7","","","","","2","","","","","","",""
"Nky;","Kalutara","","","","","","","","","","","","","","",""
"khfhzk;බ","","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","60","183","0","0","0","0","60","","1","0","0","0","0",""
"ස්නාහිර පලාත","","","","","","","","","","","","","","","",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","60","183","0","0","0","0","60","","1","0","0","0","0",""
"","මඩකලපුව/kl;lf;f","Heavy Rain &","","","","","","","","","","","","","",""
"","6
Koraleipattu North","2018.11.06","147","549","","","","","","","","","2","147","549",""
"නැවගනහිර","","","","","","","","","","","","","","","",""
"","sg;G/ Batticaloa","","","","","","","","","","","","","","",""
"පලාත/fpof;F","","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","147","549","0","0","0","0","0","","0","0","2","147","549",""
"/Eastern/","","","","","","","","","","","","","","","",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","147","549","0","0","0","0","0","","0","0","2","147","549",""
"","මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","880","3199","2","3","0","0","82","","6","0","5","155","587",""
