"","பிரதான நகரங்களுக்கான வானிலை முன்னறிவித்தல்","","","",""
"","","வவப்பநிலை (0C)","சாரீரப்பதன் (%)","",""
"நகரம்","","","","","வானிலை"
"","உச்ச","குலைந்த","உச்ச","குலைந்த",""
"அனுராதபுரம்","33","25","90","55","பிரதானமாக சீரான வானிலை"
"","","","","","பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை வபய்யும்"
"மட்டக்களப்பு","35","26","75","50",""
"","","","","","சாத்தியம்"
"வகாழும்பு","31","28","85","70","அடிக்கடி சிறிதளவில் மலை வபய்யும்"
"காலி","29","27","95","80","அடிக்கடி மலை வபய்யும்"
"யாழ்ப்பாணம்","33","27","95","65","பிரதானமாக சீரான வானிலை"
"கண்டி","29","23","85","65","அடிக்கடி சிறிதளவில் மலை வபய்யும்"
"நுவவரலியா","18","14","95","80","அடிக்கடி மலை வபய்யும்"
"இரத்தினபுரி","31","24","95","70","அவ்வப்பபாது மலை வபய்யும்"
"","","","","","பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை வபய்யும்"
"திருபகாணமலை","35","26","80","50",""
"","","","","","சாத்தியம்"
"மன்னார்","32","27","90","70","பிரதானமாக சீரான வானிலை"
