"","තත්ත්ව වාර්තාව  - ශ්‍රී ලංකාව / epiyik mwpf;if - ,yq;if/   Situation Report- Sri Lanka දිනය /jpfjp / Date : 06th  May 2021 at 1800hrs","","","","","","","","","","","","","","","",""
"","","","","","","","","","නිවාස්ත්‍ හානි","","","","","","","",""
"","","","","බලපෑමට ලක්වු","","","","","","","","","","","","",""
"","පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு","","","","","","","","Nrjkile;j","","","ලවනත් හානි பிற பாதிப்புகள்","","","","ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd",""
"","","","","ghjpf;fg;gl;l","","","","","","","","","","","","",""
"","Administrative purview","","","","","","","","tPLfs; Houses","","","Other Damages","","","","miktplk; Safe Location",""
"","","","","Affected","","","තුවාලවු","අතුරුදහ","","","","","","","","",""
"","","","ආරම්භක දිනය","","","","","","Damaged","","","","","","","",""
"","","","","","","","පුද්ගලයින්","න්වූ","","","","","","","","",""
"","","","mdu;j;jk;","","","මිය යෑම්","","","","","","","","","","",""
"","","ආපදාව","","","","","","පුද්ගලයින්","","","කුඩා හා මධය","","","","","",""
"පළාත","","","","","","","","","","","","","","","","",""
"","","","Muk;gpj;j","","","kuzq;f","fhakil","fhzhky;","","","පරිමාණ වයාපාරික","","ඉතා වැදගත් යටිතල","","ආරක්ිත","","ලවනත් කරුණු"
"khfhzk; 
#","","mdHj;jk","","","","","","","","","","","","","","",""
"","","","jpfjp","","","s;","e;NjhH","NghNdhH","","","","","පහසුකම් වලට වූ","","රථාන","","NtW Fwpg;Gf;fs; Remarks"
"Province","ප්‍රා.ලේ. ලකා","","","පවුේ","","","","","පූර්ණ","","ස්ත්‍
රථාන சிறிய,","","","","ස්ත්‍","පවුේ",""
"","දිස්ත්‍රික්කය","Disaster","","","","Deaths","","","","අර්ධ හානි","","","","","","",""
"","","","Date of","","පුද්ගලයින්","","","","","","நடுத்தர,","","හානි mbg;gilf;","","ස්ත්‍ංඛ්‍යාව","ස්ත්‍ංඛ්‍යාව","පුද්ගලයින්"
"","gpuNjr nra.gp","","","ස්ත්‍ංඛ්‍යාව","","","Injured","Missing","හානි","gFjpas","","","","","","",""
"மாவட்டம்","","","","","egHfs;","","","","","","நிறுவனங்களின்","","fl;likg;Gf;fs;","","vz;zpf;i","FLk;gq;f","egHfs;"
"","","","commenced","FLk;gq;fs;","","","","","KOik","T","","","","","","",""
"","DS","","","","People","","People","People","","","சேதங்கள்; Small,","","Damages to","","f   No.","s;","Persons"
"District","","","","Families","","","","","Fully","Partially","","","","","","",""
"","Division","","","","","","","","","","Medium,","","critical","","of Safety","Families",""
"","","","","","","","","","","","Enterprises","","Infrastructure","","Locations","",""
"","","","","","","","","","","","Damages","","","","","",""
"","","","","","","","","","","","","","","","","","Official residence of the"
"","","Heavy Rain / High Wind","","","","","","","","","","","","","","",""
"","Balangoda","","2021.03.22","40","150","","","","1","35","","1","","","1","3","Municipal Secretary 
19"
"","","& Landslide Risk","","","","","","","","","","","","","","","Balangoda"
"","Pelmadulla","Flood/Heavy Rain","2021.05.03","70","261","","","","","70","","20","","","","",""
"","Godakawela","Flood/Cutting Failure","2021.05.03","7","29","","","","","4","","","","","","",""
"","Ayagama","Heavy Rain & Wind","2021.05.02","2","7","","","","","2","","","","","","",""
"","රත්නපුර","","","","","","","","","","","","","","","",""
"","Opanayaka","Heavy Rain","2021.05.03","12","52","","","","1","1","","","","","","",""
"1",",uj;jpdGhp","","","","","","","","","","","","","","","",""
"","Eheliyagoda","Heavy Rain/Lightning","2021.05.02/04","8","24","","","","1","7","","","","","","",""
"","Rathnapura","","","","","","","","","","","","","","","",""
"","Kolonna","Cutting Failure","2021.05.02/04","8","26","","","","1","7","","","","","","",""
"","Kiriella","Lightning/High Wind","2021.05.03","2","9","","","","","2","","","","","","",""
"","Kahawatta","Flood/Heavy Rain","2021.05.03","21","88","","","","","21","","","","","","",""
"","Ratnapura","Lightning/High Wind","2021.05.03","6","27","","","","","6","","","","","","",""
"","Nivitigala","Flood","2021.05.04","18","66","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","194","739","0","0","0","4","155","","21","","0","1","3","19"
"","","","2021.04.12/1","","","","","","","","","","","","","",""
"","Kegalla","Lightning & Wind","","4","16","","","","","5","","","","","","",""
"","","","3/16","","","","","","","","","","","","","",""
"","","Tree Fallen","2021.04.16","1","3","","","","","","","","","","","",""
"","","Lightning","2021.04.24","4","17","","","","1","","","","","","","",""
"","Ruwanwella","","","","","","","","","","","","","","","",""
"","","Heavy Rain","","1","2","","","","","1","","","","","","",""
"ස්ත්‍බරගමුව පලාත","","","2021.05.03","","","","","","","","","","","","","",""
"rg;ufKt","","Lightning","","1","7","","","","","1","","","","","","",""
"Sabaragamuw","","Tree Fallen","20211.19/02","6","23","","","","","6","","","","","","",""
"","Yatiyanthota","","","","","","","","","","","","","","","",""
"a","","","","","","","","","","","","","","","","",""
"","","Lightnig/Land Slide","2021.05.03","7","33","","1","","","3","","","","","","",""
"","","Lightning","2021.05.02","1","4","","","","","1","","","","","","",""
"","Warakapola","Heavy Rain","2021.05.03","1","1","","","","","1","","","","","","",""
"","","Lightning","2021.05.03","2","9","","","","2","","","","","","","",""
"කෑගල්ල","","","","","","","","","","","","","","","","",""
"2","","Lightning","2021.05.02","3","12","","","","","3","","","","","","",""
"","Nffhiy Kegalle","","","","","","","","","","","","","","","",""
"","","","2021.05.02/0","","","","","","","","","","","","","",""
"","Galigamuwa","Rock Fallen","","4","13","","","","","4","","","","","","",""
"","","","3","","","","","","","","","","","","","",""
"","","Lightning","2021.05.04","3","11","","","","","3","","","","","","",""
"","","Lightning","2021.05.02","3","10","","","","","3","","","","","","",""
"","","Cutting Failure","","6","25","","","","","6","","","","","","",""
"","Deraniyagala","","","","","","","","","","","","","","","",""
"","","Flood","2021.05.04","6","25","","","","","6","","","","","","",""
"","","Lightning","","2","7","","","","","2","","","","","","",""
"","Bulathkohupitiya","Lightning","2021.04.30","6","28","","","","","6","","","","","","",""
"","Dehiovita","Lightning","2021.05.03","2","9","","","","","","","","","","","",""
"","Aranayaka","Lightning","2021.05.03","1","5","","","","","","","","","","","",""
"","Rambukkana","Tree Fallen","2021.05.04","2","7","","","","1","1","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","66","267","0","1","0","4","52","","0","","0","0","0","0"
