"","","","","","","","","","","","","","","","","","",""
"","Kalpitiya","","","1","3","Page 4","","","","","1","","","","","","","Situation Report on 2019.11.05 at 1800 hrs.xlsx"
"","","Wind","2020.09.07","","","","","","","","","","","","","","",""
"","Chilaw","","","1","4","","","","","","1","","1","","","","",""
"","Mundalam","Rain & Wind","2020.09.06","2","6","","","","","","2","1","","","","","",""
"","Wanathavilluwa","High wind","","1","4","","","","","","","1","","","","","",""
"","","","2020.09.07","","","","","","","","","","","","","","",""
"","12","Rain & Wind","","99","454","","","","","","4","","","","","","",""
"","Wennappuwa","","","","","","","","","","","","","","","","",""
"","","Flood","2020.09.08","149","674","","","","","","","","","","","","",""
"","Anamaduwa","Lightning","2020.09.06","1","5","","","","","","1","","","","","","",""
"වයඹ පලාත","පුත්තලම    Gj;jsk; 
Dankotuwa","Rain & flood","","53","200","","","","","","5","","","","","","",""
"","Puttalam","","2020.09.07","","","","","","","","","","","","","","",""
"tlNky;","","","","","","","","","","","","","","","","","",""
"","","Wind","","1","4","","","","","","1","","1","","","","",""
"khfhzk;  North","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","Veerahena Pokkalamulla",""
"Western","Naththandiya","","2020.09.08","71","270","","","","","","1","1","","1","4","12","",""
"","","Flood","","","","","","","","","","","","","","","kovil",""
"","","","2020.09.09","132","449","","","","","","","","","","","","",""
"","","Flood","2020.09.08","400","1400","","","","","","","","","","","","",""
"","Mahawewa","Lightning","2020.09.07","1","5","","","","","","1","","","","","","",""
"","","Wind","2020.09.08","1","3","","","","","","1","","","","","","",""
"","Madampe","Flood","2020.09.08","8","15","","","","","","","5","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","921","3496","","0","0","0","0","18","8","2","1","4","12","",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","921","3496","","0","0","0","0","18","8","2","1","4","12","",""
"","ත්‍රීකුණාමලය","","","","","","","","","","","","","","","","",""
"","13
Seruwila
jp.kiy","High wind","2020.09.08","3","9","","","3","","","","","","","","","",""
"","Trincomalee","","","","","","","","","","","","","","","","",""
"නැමගනහිර පලාත","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","3","9","","0","3","0","0","0","0","0","0","0","0","",""
"fpof;F    Eastern","මඩකලපුව/kl;lf;f","","","","","","","","","","","","","","","","",""
"14","Eraurpattu","High wind","2020.09.09","1","3","","","","","","1","","","","","","",""
"","sg;G/ Batticaloa","","","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","1","3","","0","0","0","0","1","0","0","0","0","0","",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","4","12","","0","3","0","0","1","0","0","0","0","0","",""
"","මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","13005","51030","","3","10","0","41","755","25","2","7","112","427","",""
