"","","","","","","","","","","","","","",""
"","","2020.09.07","9","34","Page 3","2","","","9","","","","","Situation Report on 2019.11.05 at 1800 hrs.xlsx"
"Colombo","","","","","","","","","","","","","",""
"","","2020.09.09","1091","3103","","","","","3","","","","",""
"","","","14","49","","","","","14","","","","",""
"Rathmalana","","","","","","","","","","","","","",""
"","","2020.09.09","3","13","","","","","3","","","","",""
"","","","2","9","","","","","2","","","","",""
"Kolonnawa","","","","","","","","","","","","","",""
"","","2020.09.09","3","13","","","","","3","","","","",""
"Kotte","","","3","14","","","","","3","","","","",""
"","","","68","248","","","","2","66","","","","",""
"Moratuwa","","","","","","","","","","","","","",""
"","","2020.09.09","47","138","","","","","25","","","","",""
"Padukka","Heavy rain and High","","1","5","","","","","1","","","","",""
"මකාළඹ","Wind","","","","","","","","","","","","",""
"","","","7","24","","","","","7","","","","",""
"9
Maharagama
nfhOk;G","","","","","","","","","","","","","",""
"","","","15","52","","","","","15","2","","","",""
"Colombo","","","","","","","","","","","","","",""
"","","","8","30","","","","","8","","","","",""
"Dehiwala","","","","","","","","","","","","","",""
"","","2020.09.09","3","10","","","","","3","","","","",""
"Homagama","","","","","","","","","","","","","",""
"","","","7","26","","","","","7","","","","",""
"Thimbirigasyaya","","","","","","","","","","","","","",""
"","","2020.09.09","213","678","","1","","","2","","","","",""
"Kesbewa","","","2","8","","","","","2","","","","",""
"Seethawaka","","","15","60","","","","","15","","","","",""
"","","","3","11","1","2","","1","2","","","","",""
"Kaduwela","","","","","","","","","","","","","",""
"","","2020.09.09","14","44","","","","","14","","","","",""
"Kottawa","","2020.09.09","427","1640","","","","","25","","","1","42","175"
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","1955","6209","1","5","0","3","229","2","0","1","42","175"
"","","2020.09.06","473","1904","","","","","7","","","","",""
"Kelaniya","Flood","","","","","","","","","","","","",""
"","","2020.09.09","2977","12408","","","","","","","","","",""
"","Flood, Heavy Rain,Tree","","","","","","","","","","","","",""
"","","2020.09.07,08","25","103","","","","","5","","","","",""
"Attanagalla","Fallen","","","","","","","","","","","","",""
"","Flood","2020.09.07","20","79","","","","","","","","","",""
"Western","","","","","","","","","","","","","",""
"","","2020.09.06","11","45","","","","","10","","","","",""
"Mahara
Nky; khfhzk;","Heavy rain & Wind","","","","","","","","","","","","",""
"","","2020.09.08","105","509","1","","","","2","","","","",""
"බස්ත්‍රනාහිර පලාත","","","","","","","","","","","","","",""
"","","2020.09.08","1","3","","","","","1","","","","",""
"Minuwangoda","High wind","","","","","","","","","","","","",""
"","","","11","39","","","","","11","","","","",""
"","Cutting failure","","1","5","","","","","1","","","1","1","5"
"ගම්පහ            
Dompe","Heavy rain","2020.09.06","2","8","","","","","2","","","","",""
"fk;g`h","","","","","","","","","","","","","",""
"","Tree Fallen","","1","7","","","","","1","","","","",""
"Gampaha","","","","","","","","","","","","","",""
"","High wind","","4","160","","","","","4","1","","","",""
"Ja-Ela","Flood","","203","755","","","","","4","3","","","",""
"","","2020.09.09","","","","","","","","","","","",""
"10","Cutting failure","","1","3","","","","","1","","","","",""
"Biyagama","Tree Fallen","2020.09.06","5","18","","","","","5","","","","",""
"","Flood","2020.09.09","653","2892","","","","","","","","","",""
"Negombo","","","","","","","","","","","","","",""
"","","2020.09.06","6","21","","","","","6","","","","",""
"","Heavy rain & Wind","2020.09.06","10","34","","1","","","10","","","","",""
"Mirigama","","","","","","","","","","","","","",""
"","","2020.09.08","2","5","","","","","2","","","","",""
"Divulapitiya","Wind","","6","23","","","","","6","","","","",""
"","","2020.09.07","","","","","","","","","","","",""
"","High wind","","20","76","","","","","20","","","","",""
"Wattala","","","","","","","","","","","","","",""
"","Flood","2020.09.08","4596","18491","","","","","1","","","","",""
"","","2020.09.07","3","11","","","","","3","","","","",""
"Katana","Heavy rain & Wind","2020.09.09","423","1542","","","","","9","1","","","",""
"","","2020.09.09","10","37","","","","","9","","","","",""
"","Rain & Wind","2020.09.06","5","19","","","","","5","","","","",""
"Gampaha","Flood","2020.09.08/09","69","306","","","","","","","","","",""
"","High wind","2020.09.09","3","11","","","","","3","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","9646","39514","1","1","0","0","128","5","0","1","1","5"
"කළුතර","","","","","","","","","","","","","",""
"11
Palindanuwara
fSj;Jiw","Rock Fallen","2020.09.06","16","49","","","","","","","","1","16","44 Gangarama Temple"
"Kalutara","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","16","49","0","0","0","0","0","0","0","1","16","44"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","11617","45772","2","6","0","3","357","7","0","3","59","224"
