"","Weather Forecast for Main Cities","","","Date :","22-Sep-2025"
"","","Temperature (0C)","Relative Humidity (%)","",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","90","55","Mainly fair"
"","","","","","Showers or thundershowers are likely"
"Batticaloa","33","26","90","60",""
"","","","","","after 2.00p.m"
"Colombo","30","25","90","65","Several spells of showers"
"Galle","30","28","90","75","Several spells of showers"
"Jaffna","31","26","90","75","Mainly fair"
"Kandy","29","20","95","65","Several spells of showers"
"Nuwara-Eliya","18","15","95","70","Several spells of showers"
"Ratnapura","32","23","95","70","Showers at times"
"","","","","","Showers or thundershowers are likely"
"Trincomalee","35","26","85","55",""
"","","","","","after 2.00p.m"
"Mannar","32","28","85","65","A few showers"
