"B
 
ay of Bengal",""
"W
eather:",""
"EQ-05N, 80E-90E",": Showers or thundershowers at most places."
"EQ-05N, 90E-100E",": Showers or thundershowers at several places."
"05N-10N, 80E-100E     : Showers or thundershowers at a few places.",""
"Other sea areas",": Mainly fair weather."
"W
inds:",""
"07N -15N, 80E-100E",": Easterly to North-easterly/ (20-30) kmph, gusting up to (40-50) kmph."
"EQ -07N, 85E-100E",": Anticlockwise / (20-30) kmph, gusting up to (40-45) kmph."
"Other sea areas",": North-easterly / (10-20) kmph."
"State of the Sea:",""
"07N -15N, 80E-100E",": Moderate, fairly rough at times."
"EQ -07N, 85E-100E",": Moderate, fairly rough at times."
"Other sea areas",": Slight to moderate."
