"","Weather Forecast for Main Cities","","","Date :","13-Jan-2025"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","30","24","95","75","Showers at times"
"Batticaloa","28","24","95","85","Showers or thundershowers at times"
"Colombo","29","24","90","60","Showers or thundershowers after 2.00p.m"
"Galle","30","25","90","75","Showers or thundershowers after 2.00p.m"
"Jaffna","29","24","95","70","Showers at times"
"Kandy","26","21","95","75","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","18","15","95","85","Showers or thundershowers at times"
"Ratnapura","29","23","90","70","Showers or thundershowers after 2.00p.m"
"Trincomalee","29","23","95","80","Showers or thundershowers at times"
"Mannar","29","25","90","75","Showers or thundershowers at times"
