"","","","","Page 2","","","","","","","","","","Situation Report on 2019.11.05 at 1800 hrs.xlsx"
"Koralaipattu West","","2019.12.22","82","290","","","","","","","","1","82","290"
"Koralaipattu South
Batticaloa/","","2019.12.19","283","897","","","","","","","","4","283","897"
"3","","","","","","","","","","","","","",""
"ඩකලපුව
Koralaipattu","","2019.12.21","48","150","","","","","","","","1","48","150"
"Eravur Pattu","","2019.12.18","613","1785","","","","","","","","3","613","1785"
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","1026","3122","0","0","0","0","0","0","0","9","1026","3122"
"Verugal","","","48","150","","","","","","","","1","42","133"
"නැමගනහිර පලාත","","","","","","","","","","","","","",""
"Kinniya","","","751","2910","","","","","6","","","","",""
"ත්‍රීකුණා ලය   
fpof;F     Eastern","","","","","","","","","","","","","",""
"4
jp.kiy     
Kanthale","Flood","2019.12.22","1","3","","","","","1","","","","",""
"Trincomalee","","","","","","","","","","","","","",""
"Kuchchaveli","","","546","2178","","","","","","","","","",""
"Thambalagamam","","","1","5","","","","","1","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","1347","5246","0","0","0","0","8","0","0","1","42","133"
"පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","2373","8368","0","0","0","0","8","0","0","10","1068","3255"
"හනුවර","","","","","","","","","","","","","",""
"5
Minipe
fz;b","High wind","2019.12.20","33","126","","","","","","","","1","33","126 Thorapitiya Temple"
"Kandy","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","33","126","0","0","0","0","0","0","0","1","33","126"
"","","2019.12.04-05","2","11","","","","","","","","1","2","11 Lipakele Childcare Center"
"","Landslide","","","","","","","","","","","","",""
"Nuwara Eliya","","2019.12.19","1","5","","","","","","","","1","1","5 Headrest Cultural Central"
"","Flood","2019.12.20","2","11","","","","","","","","1","2","11 Park School"
