"","Weather Forecast for Main Cities","","","Date:","30-May-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","26","85","70","Several spells of showers"
"Batticaloa","36","27","85","50","Mainly fair"
"Colombo","30","26","85","75","Showers or thundershowers at times"
"Galle","29","24","90","80","Showers or thundershowers at times"
"Jaffna","32","28","80","7575","A few showers"
"Kandy","28","24","85","80","Showers or thundershowers at times"
"Nuwara-Eliya","18","16","95","80","Showers or thundershowers at times"
"Ratnapura","31","25","95","65","Showers or thundershowers at times"
"Trincomalee","33","27","80","65","Mainly fair"
"Mannar","32","28","85","75","Several spells of showers"
