"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධ්‍පුරය","33","25","90","50","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
"","","","","","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති  විය"
"මඩකලපුව","35","25","80","45",""
"","","","","","ැක"
"හකාළඹ","32","28","80","70","වැසි වාර කිහිපයක්"
"ගාල්ල","30","28","85","70","වැසි වාර කිහිපයක්"
"යාපනය","33","28","85","55","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
"ම නුවර","29","21","85","60","වැසි වාර කිහිපයක්"
"නුවරඑළිය","18","14","90","70","වැසි වාර කිහිපයක්"
"රත්නපුරය","32","23","90","70","වැසි වාර කිහිපයක්"
"ිකුණාමලය","36","27","80","45","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
