"District
DS Division","","","Families","People","","","","","","","","","s;","Persons"
"","","","","","","People","","Fully","Partiall","","Damages to","of Safety","",""
"","","","","","","","","","","Small, Medium,","","","",""
"","","","","","","","People","","","","","","Families",""
"","","","","","","","","","y","","critical","Location","",""
"","","","","","","","","","","Enterprises","","","",""
"","","","","","","","","","","Damages","Infrastructure","s","",""
"Thumpane","","2019.10.24/27","3","12","","","","","3","","","","",""
"","Heavy Rain","","","","","","","","","","","","",""
"","","2019.10.21","1","5","","","","","1","","","","",""
"","Tree Fallen","2019.10.24","1","4","","","","","1","","","","",""
"Ganga Ihala Korale","","","","","","","","","","","","","",""
"","Cutting Failure","2019.10.28","6","25","","","","","6","","","","",""
"","Rock Fallen","2019.10.21","1","3","","","","","1","","","","",""
"Pujapitiya","","2019.10.22","1","2","","1","","","1","","","","",""
"Minipe","Heavy Rain","2019.10.26","1","6","","","","","","","","","",""
"Harispaththuwa","","2019.10.27/28","3","14","","","","","3","1","","","",""
"Galagedra","Heavy Rain","2019.10.23","1","3","","","","","","","","","",""
"","","2019.10.22","1","3","","","","","1","","","","",""
"Hatharaliyadda","Cutting Failure","","","","","","","","","","","","",""
"","","2019.10.28","2","5","","","","","2","","","","",""
"Delthota
මහනුවර","","2019.10.30","4","16","","","","","4","","","","",""
"1
fz;b","","2019.10.23","1","5","","","","","1","","","","",""
"Kandy","Heavy Rain","","","","","","","","","","","","",""
"","","2019.10.24","1","5","","","","","1","","","","",""
"Pathadumbara","","","","","","","","","","","","","",""
"","","2019.10.28","2","6","","","","","2","","","","",""
"","","2019.10.29","1","6","","","","","1","","","","",""
"","","2019.10.27","2","5","","","","","2","","","","",""
"Yatinuwara","Heavy Rain","2019.10.29","3","10","","","","","3","","","","",""
"","","2019.10.25","3","11","","1","","","3","","","","",""
"","Tree Fallen","2019.10.28","1","4","","","","","1","","","","",""
"","","2019.10.28","1","5","","","","","1","","","","",""
"Udapalatha","","","","","","","","","","","","","",""
"","Cutting Failure","2019.10.31","1","4","","","","","1","","","","",""
"","","2019.10.29","1","7","","","","","1","","","","",""
"Doluwa","Heavy Rain","2019.10.21/23/24/29","4","16","","","","","4","","","","",""
"Akurana","High Wind","2019.10.31","1","4","","","","","1","","","","",""
"Kundasale","Heavy Rain","2019.10.26","1","2","","","","","1","","","","",""
"දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","48","188","0","2","0","0","46","1","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","48","188","0","2","0","0","46","1","0","0","0","0"
"","","","1","5","","","","","1","","","","",""
"Aranayake","Rain & Wind","2019.10.21","","","","","","","","","","","",""
"","","","1","4","","","","","","","","","",""
"","Cutting Failure","2019.10.21","1","5","","","","","","","","","",""
"Ruwanwella","","","","","","","","","","","","","",""
"","","2019.11.02","1","6","","","","","","","","","",""
"","Tree Fallen","","","","","","","","","","","","",""
"","","2019.10.23","1","4","","","","","","","","","",""
"","Flood","2019.10.21","14","48","","","","","","","","","",""
"Dehiovita","","","","","","","","","","","","","",""
"","Heavy Rain","","2","8","","","","","","","","","",""
"","","2019.11.03","","","","","","","","","","","",""
"","Lightning","","1","3","","","","","","","","","",""
