"","","","","","","","","නිවාස්ත්‍ හානි","","","",""
"","පරිපාලන ප්‍රලද්ශය நிர்வாகப்  பிரிவு","","","බලපෑමට ලක්වු","","","","Nrjkile;j","ලවනත් හානි பிற பாதிப்புகள்","","ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd",""
"","Administrative purview","","","ghjpf;fg;gl;l    Affected","","","","tPLfs; Houses","Other Damages","","miktplk; Safe Location",""
"","","","","","","තුවාලවු","අතුරුදහ","Damaged","","","",""
"","","","ආරම්භක දිනය","","","පුද්ගලයින්","න්වූ","","","","",""
"","","","mdu;j;jk;","","මිය යෑම්","","පුද්ගලයින්","","","","",""
"","","ආපදාව","","","","","","","කුඩා හා මධය","","","ලවනත් කරුණු"
"පළාත khfhzk;","","","","","kuzq;f","fhakil","fhzhky;","","ඉතා වැදගත් යටිතල","","ආරක්ිත",""
"","#","mdHj;jk","Muk;gpj;j jpfjp","","","","","","පරිමාණ වයාපාරික","","","NtW Fwpg;Gf;fs;"
"","","","","","s;","e;NjhH","NghNdhH","","පහසුකම් වලට වූ","","ස්ත්‍
රථාන  
පවුේ",""
"Province","","","","","","","","පූර්ණ","ස්ත්‍
රථාන சிறிய,","","","Remarks"
"","දිස්ත්‍රික්කය  
ප්‍රා.ලේ. ලකා","Disaster","Date of","පවුේ ස්ත්‍ංඛ්‍යාව 
පුද්ගලයින්","Deaths","","","අර්ධ හානි","හානි mbg;gilf; 
நடுத்தர,","","ස්ත්‍ංඛ්‍යාව 
පුද්ගලයින් 
ස්ත්‍ංඛ්‍යාව",""
"","","","","","","","","හානි","","","",""
"","மாவட்டம்  
gpuNjr nra.gp     DS","","commenced","FLk;gq;fs; 
egHfs;","","Injured","Missing","gFjpasT","நிறுவனங் களி
fl;likg;Gf;fs;","","vz;zpf;i
egHfs; 
FLk;gq;f",""
"","","","","","","People","People","KOik","ன
்  சேதங் கள்","","",""
"","","","","Families
People","","","","Partially","Damages to","","s; 
Persons
f   No.",""
"","District
Division","","","","","","","Fully","Small, Medium,","","",""
"","","","","","","","","","critical","","Families
of Safety",""
"","","","","","","","","","Enterprises 
Infrastructure","","Locations",""
"","","","","","","","","","Damages","","",""
"","Mundalama","","2024.11.03","238
932","","","","","","","",""
"","පුත්තලම","","","","","","","","","","",""
"","Gj;jsk;    
1","Flood","","","","","","","","","",""
"ෙයඹ පලාත","Naththandiya","","2024.11.08","112
331","","","","3","17","","",""
"","Puttalam","","","","","","","","","","",""
"tlNky; khfhzk","","","","","","","","","","","",""
"","Mahawewa","","2024.11.08","46
162","","","","","","","",""
";North Western","","","","","","","","","","","",""
"","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","396
1425","0","0","0","0
3","17","0","0
0","0"
"","පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","","396
1425","0","0","0","0
3","17","0","0
0","0"
"","Kiriella","Heavy Rain","2024.11.15","1
1","1","","","","","","",""
"","","Tree Fallen","","1
3","","","","1","","","",""
"","Kuruvita","","2024.11.15","","","","","","","","",""
"","රත්නපුර","Heavy Rain","","3
9","","","","","1","","",""
"","2
,uj;jpdGhp 
Embilipitiya","Flash Flood","2024.11.16","16
72","","","","","","","",""
"","Rathnapura","","","","","","","","","","",""
"","Kalawana","High Wind","2024.11.15","1
3","","","","1","","","",""
"","Balangoda","Tree Fallen","2024.11.17","1
5","","","","1","","","",""
"","Kahawatta","Tree Fallen","2024.11.17","2
2","","","","2","","","",""
"","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","25
95","1","0","0","0
5","1","0","0
0","0"
"","","Heavy Rain","","2
10","","","","2","","","",""
"","Dehiovita","Tree Fallen","2024.11.15","1
3","","","","1","","","",""
"සබරගමුෙ පලාත","","Cutting Faliure","","1
4","","","","1","","","",""
"rg;ufKt","","High Wind","","1
4","","","","1","1","","",""
"","Bulathkohupitiya","","2024.11.16","","","","","","","","",""
"Sabaragamuwa","","","","","","","","","","","",""
"","","Cutting Faliure","","1
6","","","","","","","",""
"","","Lightning","2024.11.16","3
12","1","","","2","","","",""
"","කෑගල්ල","","","","","","","","","","",""
"","Nffhiy      
3","Tree Fallen","2024.11.14-17","2
6","","","","1
1","1","","",""
"","Ruwanwella","","","","","","","","","","",""
"","Kegalle","","","","","","","","","","",""
"","","Fire","2024.11.14","1
2","","","","1","","","",""
"","","Rock Fallen","2024.11.16","1
1","","","","1","","","",""
"","Kegalle","Tree Fallen","2024.11.17","2
7","","","","2","","","",""
"","Warakapola","Tree Fallen","2024.11.14","2
9","","","","2","","","",""
"","","Lightning","2024.11.14","2
10","","","","2","","","",""
"","Yatiyanthota","","","","","","","","","","",""
"","","Cutting Faliure","2024.11.15-16","13
45","","","","13","","","",""
"","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","32
119","1","0","0","3
27","2","0","0
0","0"
"","පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","","57
214","2","0","0","3
32","3","0","0
0","0"
"","මන්නාරම","","","","","","","","","","",""
"උතුරු පලාත","4
Madhu
kd;dhH","Heavy Rain & Wind","2024.11.14","1
4","","","","1","","","",""
"tl khfhzk;","Mannar","","","","","","","","","","",""
