"","Weather Forecast for Main Cities","","","Date :","14-Apr-2025"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","24","90","55","Showers or thundershowers are likely after 2.00p.m"
"Batticaloa","32","25","90","70","Showers or thundershowers are likely after 2.00p.m"
"Colombo","32","25","90","65","Several spells of showers"
"Galle","31","26","90","70","Several spells of showers"
"Jaffna","34","28","80","65","Mainly fair"
"Kandy","31","22","95","60","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","21","13","95","70","Showers or thundershowers after 2.00p.m"
"Ratnapura","35","25","95","65","Showers or thundershowers after 2.00p.m"
"Trincomalee","34","24","90","55","Showers or thundershowers after 2.00p.m"
"Mannar","33","27","90","70","Showers or thundershowers after 2.00p.m"
