"","Weather Forecast for Main Cities","","","","3-Aug-2023"
"","","Temperature (0C)","Relative Humidity (%)","",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","35","25","85","50","Mainly fair"
"Batticaloa","35","26","80","50","Mainly fair"
"Colombo","30","27","85","75","A few showers"
"Galle","29","26","90","65","A few showers"
"Jaffna","32","27","85","60","Mainly fair"
"Kandy","28","22","85","65","A few showers"
"Nuwara-Eliya","21","13","90","70","Mainly fair"
"Ratnapura","32","24","85","65","A few showers"
"Trincomalee","36","26","80","50","Mainly fair"
"Mannar","32","26","85","70","Mainly fair"
