"","","","","Date :","12-Jul-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","25","90","50","Mainly fair"
"Batticaloa","35","27","90","60","Showers or thundershowers are likely after 2.00p.m"
"Colombo","31","27","85","70","Several spells of light showers"
"Galle","29","27","90","80","Several spells of showers"
"Jaffna","34","27","90","70","Mainly fair"
"Kandy","30","22","95","60","Several spells of light showers"
"Nuwara-Eliya","20","13","95","60","Several spells of light showers"
"Ratnapura","32","25","95","70","Several spells of showers"
"Trincomalee","35","26","95","85","Showers or thundershowers are likely after 2.00p.m"
"Mannar","32","27","90","70","Mainly fair"
