"Mannar Town","Heavy Rain/Flood","2024.11.23 - 26","14385","50026","","","","","5","","","38","1510","5034"
"Manthai West","","","3563","12167","","","","","","","","21","765","2617"
"මන්නාරම","","","","","","","","","","","","","",""
"10
Nannatan","","","1291","4009","","","","","1","","","9","705","2071"
"kd;dhH   Mannar","","","","","","","","","","","","","",""
"Musali","","","379","1355","","","","","","","","","",""
"Madhu","","","165","546","","","","","","","","1","11","41"
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","19783","68103","0","0","0","0","6","0","0","69","2991","9763"
"Vavuniya North","Heavy Rain","2024.11.23","148","514","","","","","1","","","2","15","46"
"Vavuniya
වව්ියාව","Flood","2024.11.27","990","3365","","","","","47","","","4","34","98"
"11","","","","","","","","","","","","","",""
"tTdpah Vavuniya
Vengalacheddikulam","High Wind","2024.11.25","256","928","","","","","93","","","3","57","168"
"vavuniya South","Heavy Rain","2024.11.26","16","44","1","","","","4","","","1","6","16"
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","1410","4851","1","0","0","0","145","0","0","10","112","328"
"පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","46034","154268","1","1","0","3","379","7","8","184","5886","19380"
"Seruwila","Heavy rain / Flood","2024.11.24 - 26","78","201","","","","","1","","","","",""
"Muthur","","","1229","3452","","","","","3","","","","",""
"Thampalagamuwa","Heavy rain / Flood","2024.11.24 - 26","328","1064","","","","","2","","","2","29","63"
"Morawewa","","","42","141","","","","","5","","","","",""
"ත්‍රීකුණාමලය 
Town & Gravets","Heavy Rain","2024.11.25 - 26","498","1864","","","","","20","","","2","41","92"
"12
jp.kiy 
Kinniya","Heavy rain / Flood","2024.11.25 - 26","914","2316","","","","","7","","","","",""
"Trincomalee
Kuchchewali","Heavy rain / Flood","2024.11.26","286","799","1","","","","13","","","3","118","315"
"Kanthale","Heavy rain / Flood","2024.11.25 - 26","67","268","","","","","9","","","","",""
"Verugal","Heavy rain / Flood","2024.11.25 - 26","84","233","","","","","1","","","1","71","193"
"Padavi Sripura","Heavy rain / Flood","2024.11.25 - 26","22","75","","","","","2","","","","",""
"Gomarankadawala","Heavy rain / Flood","2024.11.25 - 26","1","3","","","","","1","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","3549","10416","1","0","0","0","64","0","0","8","259","663"
"Manmunai South West","","","2512","7648","","","","","","","","5","179","498"
"Kattankudy","","","956","3044","","","","","","","","1","6","7"
"Manmunai North","","","3060","9375","","","","","17","","","10","117","325"
"Eravur Paththu","","","","","","","","","","","","","",""
"","","","5154","14673","","","","","12","","","11","1075","3150"
"Chenkallady","","","","","","","","","","","","","",""
"Koralaipattu South kiran","","","1302","4145","","","","","3","","","5","399","1111"
"Koralaipattu","","","","","","","","","","","","","",""
"","","","560","1688","","","","","","","","2","282","859"
"මඩකලපුව 
Valachchenai","","","","","","","","","","","","","",""
"kl;lf;fsg;G 
13
Koralaipattu Central","Flood","2024.11.25","338","1262","","","","","8","","","","",""
"Batticaloa","","","","","","","","","","","","","",""
"Koralaipattu West","","","560","1855","","","","","","","","1","188","544"
"Manmunaioattu","","","2164","5937","","","","","","","","2","66","198"
"Manmunai West","","","2184","7042","","1","","","14","","","4","160","519"
"Manmunai South 
නැලගනහිර පලාත","","","","","","","","","","","","","",""
"","","","2410","9185","","","","","5","","","7","253","679"
"Eruvilpattu
fpof;F","","","","","","","","","","","","","",""
"Eastern
Eravur Town","","","337","1338","","","","","","","","","",""
"Karalaipattu North","","","887","2410","","","","","9","","","","",""
"Porathivupattu vellaveli","","","717","2016","","","","","5","","","7","151","393"
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","23141","71618","0","1","0","0","73","0","0","55","2876","8283"
