"","","Kegalle","Rock Fallen","2024.11.26","3","15","","","","","3","","","","",""
"ස්ත්‍බරගමුව පලාත","","","","","","","","","","","","","","","",""
"rg;ufKt","","","Tree Fallen","2024.11.25","4","18","","","","","4","","","","",""
"Sabaragamuwa","","Warakapola","","","","","","","","","","","","","",""
"","","","Rock Fallen","2024.11.24","1","4","","","","","1","","","","",""
"","","","Wall Collapse","2024.11.26","2","9","","","","","2","","","","",""
"","","Galigamuwa","Tree Fallen","2024.11.25","7","32","","","","","7","","","","",""
"","","Rambukkana","Wall Collapse","2024.11.26","2","8","","","","","1","","","","",""
"","","Yatiyanthota","High wind","2024.11.26","12","54","","","","","12","","","","",""
"","කෑගේල","","","","","","","","","","","","","","",""
"","","Ruwanwella","Flood","2024.11.26","4","17","","","","","1","","","","",""
"","6
Nffhiy","","","","","","","","","","","","","","",""
"","Kegalle","","","","","","","","","","","","","","",""
"","","Deraniyagala","High wind / tree Fallen","2024.11.27","4","11","","","","","4","","","","",""
"","","Aranayake","Cutting Faliure","2024.11.22","7","22","","","","","7","","","","",""
"","","","","","9","33","","","","","9","","","","",""
"","","","Cutting Faliure /","","","","","","","","","","","","",""
"","","","","2024.11.24 / 25","1","2","","","","","1","","","","",""
"","","Mawanella","Heavy Rain /High","","","","","","","","","","","","",""
"","","","","/26 /27 /28","15","66","","","","","15","","","","",""
"","","","wind/ Tree Fallen","","","","","","","","","","","","",""
"","","","","","13","39","","","","","13","","","","",""
"","","Bulathkohupitiya","Cutting Faliure","2024.11.25","2","9","","","","","2","","","","",""
"","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","86","339","0","0","0","0","82","0","0","0","0","0"
"","","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","231","896","0","2","0","0","212","0","0","0","0","0"
"","","Chavakachcheri","Flash Flood","2024.11.27","4132","13102","","","","","16","","","16","395","1414"
"","","Kayts","","","464","1781","","","","","7","","","","",""
"","","Point Pedro","","","971","3387","","","","2","72","","7","7","498","1817"
"","","Nallur","","","1563","4925","","1","","","6","","","5","138","449"
"","","Thellippalai","","","1422","4562","","","","","","","","5","139","430"
"","","Chankanai","","","2276","7583","","","","1","11","","","6","74","282"
"","යාපනය","Karainagar","","","217","771","","","","","3","1","","2","15","51"
"","7
aho;g;ghzk;","","","","","","","","","","","","","","",""
"","","Sandilippay","","","1356","4907","","","","","11","2","1","10","381","1341"
"","Jaffna","","","","","","","","","","","","","","",""
"","","Kopay","","","1766","5778","","","","","8","","","2","41","150"
"","","Jaffna","","","1872","6665","","","","","1","","","7","156","511"
"","","Uduvil","","","986","3474","","","","","12","3","","3","66","232"
"","","Delft","","","1150","3307","","","","","2","1","","2","19","59"
"","","Velanai","","","633","2010","","","","","4","","","8","166","455"
"","","Karavedy","","","370","1233","","","","","6","","","","",""
"","","Maruthankerny","","","382","1136","","","","","2","","","4","25","80"
"","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","19560","64621","0","1","0","3","161","7","8","77","2113","7271"
"","","Karachchi","High Wind/Flood","2024.11.22 - 26","1049","3546","","","","","9","","","3","48","137"
"","කිලිලනාච්චිය","","","","","","","","","","","","","","",""
"","","Kandawalai","","2024.11.22 - 26","1006","2913","","","","","8","","","7","186","557"
"","8
fpspnehr;rp","","","","","","","","","","","","","","",""
"","Killinochchi","Pachchilaippailli","","2024.11.22 - 26","175","588","","","","","4","","","","",""
"","","Poonkary","","2024.11.22 - 26","656","2122","","","","","","","","1","8","23"
"උතුරු පලාත","","","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","2886","9169","0","0","0","0","21","0","0","11","242","717"
"tl khfhzk;","","","","","","","","","","","","","","","",""
"Northen","","","","","","","","","","","","","","","",""
"","","Manthai East","Flood","2024.11.22 - 26","401","1331","","","","","1","","","7","51","148"
"","","Maritimepattu","Flood","2024.11.24 - 26","237","699","","","","","16","","","2","71","184"
"","මුලතිව්","Oddusuddan","Flood","2024.11.25 - 26","607","2166","","","","","0","","","6","151","468"
"","9
Ky;iyj;jPT","","","","","","","","","","","","","","",""
"","Mulaitivu","Puthukkudyirippu","Flood","2024.11.26","485","1562","","","","","2","","","1","147","479"
"","","Thunikkai","Flood","2024.11.27","461","1305","","","","","25","","","1","8","22"
"","","Weli Oya","Flood","2024.11.28","204","461","","","","","2","","","","",""
"","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","2395","7524","0","0","0","0","46","0","0","17","428","1301"
