"B
ay of Bengal",""
"W
eather:",""
"EQ - 20N, 90E-100E",": Showers or thundershowers at most places."
"Other sea areas",": Showers or thundershowers at several places."
"W
inds:",""
"12N - 20N, 80E-92E",": South-westerly / (35-45) kmph; gusting up to (55-65) kmph."
"05N - 12N, 80E-85E",": South-westerly / (30-40) kmph; gusting up to (50-60) kmph."
"Other sea areas",": South-westerly / (30-40) kmph."
"S
tate of the Sea:",""
"12N - 20N, 80E-92E",": Fairly rough to rough; very rough at times."
"05N - 12N, 80E-85E",": Fairly rough; rough at times."
"Other sea areas",": Moderate."
