"","Weather Forecast for Main Cities","","","Date :","3-Jun-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","26","90","55","Mainly fair"
"Batticaloa","35","26","85","60","Showers or thundershowers are likely after 2.00p.m"
"Colombo","31","26","85","75","Several spells of showers"
"Galle","30","26","95","85","Several spells of showers"
"Jaffna","34","28","85","65","Mainly fair"
"Kandy","29","23","90","75","Several spells of showers"
"Nuwara-Eliya","19","15","95","85","Mainly fair"
"Ratnapura","32","25","95","80","Several spells of showers"
"Trincomalee","36","26","85","50","Mainly fair"
"Mannar","32","28","90","80","Mainly fair"
