"","Weather Forecast for Main Cities","","","","2024-07-10"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","26","90","55","Mainly fair"
"Batticaloa","34","26","90","55","Showers or thundershowers are likely after 2.00p.m"
"Colombo","31","25","90","70","Several spells of showers"
"Galle","30","25","90","70","Several spells of showers"
"Jaffna","33","27","90","65","Mainly fair"
"Kandy","30","22","95","65","Several spells of light showers"
"Nuwara-Eliya","19","15","95","60","Several spells of light showers"
"Ratnapura","32","24","95","65","Several spells of showers"
"Trincomalee","36","26","85","50","Mainly fair"
"Mannar","32","28","85","70","Mainly fair"
