"","","","","Page 4","","","","","","","","","",""
"Elahera","","","134","466","","","","4","40","","","2","26","86"
"ගපාගලානනරුව 
Thamankaduwa","","","450","1632","","","","","","","","7","358","1332"
"උතුරු මැද පළාත","","","","","","","","","","","","","",""
"12
nghyd;dWit","Flood","2019.12.21","","","","","","","","","","","",""
"North Central","","","","","","","","","","","","","",""
"Dimbulagala
Polonnaruwa","","","187","613","","","","","48","","","4","138","433"
"Lankapura","","","5","20","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","776","2731","0","0","0","4","88","0","0","13","522","1851"
"පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","2048","7072","0","0","0","20","122","0","0","39","1544","5218"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","9962","34842","3","6","0","49","1017","6","0","120","4904","16892"
"","","","","","රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
