"kj;jpa khfhzk;","","","","","","","","","","","","","","","",""
"Central","","","","","","","","","","","","","","","",""
"","","","","","","Page 3","","","","","","","","","","Situation Report on 2019.11.05 at 1800 hrs.xlsx"
"","","Galewela","","2019.12.18","1","2","","","","","1","","","","",""
"","","Dambulla","","2019.12.20","195","623","","","","","175","","","3","23","93"
"","","Mathale","","2019.12.20","14","49","","","","","2","","","1","10","33"
"","","Wilgamuwa","","2019.12.18","125","420","","","","","2","","","1","3","9"
"","","Laggala Pallegama","","2019.12.20","20","57","","","","","10","3","","","",""
"","මාතගල් khj;jis","","Heavy Rain /","","","","","","","","","","","","",""
"","7","Abangnga","","2019.12.20","32","102","","","","","6","","","","",""
"","Matale","","High wind","","","","","","","","","","","","",""
"","","Yatawaththa","","2019.12.20","46","155","","","","","1","","","1","63","247"
"","","Raththota","","2019.12.20","10","38","","","","","8","","","","",""
"","","Naula","","2019.12.20","17","67","","","","","9","","","","",""
"","","Ukuwela","","2019.12.20","5","23","","","","","5","","","","",""
"","","Pallepola","","2019.12.20","19","56","","","","1","6","","","1","12","32"
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","484","1592","0","0","0","1","225","3","0","7","111","414"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","692","2328","1","0","0","4","311","3","0","24","310","1028"
"","","Tissamaharamaya","","","754","3012","","","","","1","","","","",""
"","හම්බනගතාට","Hambantota","","","68","320","","","","","1","","","","",""
"දකුනු පලාත","8
`k;ghe;Njhl;il","Lunugamwehera","Flood","2019.12.20","5","21","","","","","5","","","","",""
"njd; khfhzk;","Hambantota","Angunakolapelessa","","","1","3","","","","","1","","","","",""
"Southern","","Sooriyawewa","","","1","6","","","","","1","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","829","3362","0","0","0","0","9","0","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","829","3362","0","0","0","0","9","0","0","0","0","0"
"","","Galgamuwa","","","43","131","","","","","","","","","",""
"","","Ehetuwewa","Flood","","104","262","","","","","","","","2","104","262"
"","කුරුනෑෙල","Polpithigame","","","97","336","","","","","","","","1","7","20"
"","8
FUdhfy;","Ibbagamuwa","Landslide","2019.12.20","21","62","1","","","","1","","","","",""
"","Kurunegala","Bingiriya","Flood","","10","40","","","","","","","","1","10","40"
"","","Abanpola","Flood","","6","18","","","","","","","","","",""
"","","Mahawa","Flood","","30","90","","","","","3","","","1","3","5"
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","311","939","1","0","0","0","4","0","0","5","124","327"
"වයඹ පලාත","","","","","","","","","","","","","","","",""
"tlNky;","","Nagahawattegama","","","240","730","","","","","","","","2","240","730 Galkarupelesse"
"khfhzk;","","","","","","","","","","","","","","","",""
"","","Wanathavilluwa","","","335","1273","","","","","16","","","4","310","1183 Samagipura"
"North Western","","","","","","","","","","","","","","","",""
"","","Pallama","","","23","68","","","","","1","","","1","18","48"
"","පුත්තලම  Gj;jsk;","Puttalama","","","866","3118","","","","","11","3","","6","551","2080"
"","9","","Heavy Rain","2019.12.20","","","","","","","","","","","",""
"","Puttalam","Kalpitiya","","","38","128","","","","","","","","","",""
"","","Anamaduwa","","","122","383","","","","","1","","","1","25","72"
"","","Mundalama","","","45","156","","","","","","","","","",""
"","","Karuwalagaswewa","","","108","362","","","","","","","","1","40","150 Thabbowa Temple"
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","1777","6218","0","0","0","0","29","3","0","15","1184","4263"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","2088","7157","1","0","0","0","33","3","0","20","1308","4590"
"","","Mawanelle","Tree fallen","","1","5","","","","","1","","","","",""
