"","+A1:F41 Weather Forecast for Main Cities","","","",""
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","26","90","60","Mainly fair"
"Batticaloa","37","27","85","45","Showers or thundershowers are likely after 2.00p.m"
"Colombo","31","26","95","70","Showers at times"
"Galle","29","27","95","85","Showers at times"
"Jaffna","34","27","85","65","Mainly fair"
"Kandy","29","23","95","70","Several spells of showers"
"Nuwara-Eliya","18","15","95","80","Several spells of showers"
"Ratnapura","32","25","95","75","Showers at times"
"Trincomalee","35","27","75","50","Mainly fair"
"Mannar","32","28","80","65","Mainly fair"
