"","District","DS Division","","","People","","","","","","","","of Safety","",""
"","","","","","","","People","","Fully","Partiall","Small, Medium,","Damages to","","",""
"","","","","","","","","People","","","","","","Families",""
"","","","","","","","","","","y","","critical","Location","",""
"","","","","","","","","","","","Enterprises","","","",""
"","","","","","","","","","","","Damages","Infrastructure","s","",""
"","පුත්තලම","","","","","","","","","","","","","",""
"වයඹ පලාත","1
Gj;jsk;","Wennappuwa","Flash Flood
2019.10.15","52","203","","","","","5","1","0","1","40","135"
"tlNky;","","","","","","","","","","","","","","",""
"","Puttalam","","","","","","","","","","","","","",""
"khfhzk;  North","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","52","203","0","0","0","0","5","1","0","1","40","135"
"Western","","","","","","","","","","","","","","",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","52","203","0","0","0","0","5","1","0","1","40","135"
"","හම්බන්තාට","Weerakatiya","2019.11.10","2","8","","","","","2","","","","",""
"","","","Heavy Rain &","","","","","","","","","","","",""
"","2
`k;ghe;Njhl;il","Suriyawewa","2019.11.11","5","19","","","","","5","","","","",""
"දකුනු පලාත","","","High Wind","","","","","","","","","","","",""
"","Hambantota","Beliatta","2019.11.09","61","231","","","","","61","6","","","",""
"njd; khfhzk;","","","","","","","","","","","","","","",""
"Southern","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","68","258","0","0","0","0","68","6","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","68","258","0","0","0","0","68","6","0","0","0","0"
"","යාපනය","","","","","","","","","","","","","",""
"","3
aho;g;ghzk;","Delf","Tornado
2019.11.14","5","23","","","","","","10","","","",""
"උතුරු පලාත","","","","","","","","","","","","","","",""
"","Jaffna","","","","","","","","","","","","","",""
"tl khfhzk;","","","","","","","","","","","","","","",""
"Northen","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","5","23","0","0","0","0","0","10","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","5","23","0","0","0","0","0","10","0","0","0","0"
"","","","2019.11.15","2","6","","","","","2","","","","",""
"","","","Lightning","","","","","","","","","","","",""
"","","Ruwanwella","","3","10","","","","","2","","","","",""
"","","","2019.11.16","","","","","","","","","","","",""
"","","","Tree fallen","2","3","","","","","2","","","","",""
"","කෑගල්ල","","","","","","","","","","","","","",""
"","","","Lightning
2019.11.15","4","18","","","","","1","","","","",""
"","4
Nffhiy","Warakapola","","","","","","","","","","","","",""
"ස්ත්‍බරගමුව පලාත","","","","","","","","","","","","","","",""
"","Kegalle","","Tree fallen","","","","","","","1","","","","",""
"rg;ufKt","","","","","","","","","","","","","","",""
"Sabaragamuwa","","","Heavy Rain &","","","","","","","","","","","",""
"","","","2019.11.16","2","8","","","","","2","","","","",""
"","","Yatiyanthota","High Wind","","","","","","","","","","","",""
"","","","Lightning","6","30","","","","","6","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","19","75","0","0","0","0","16","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","19","75","0","0","0","0","16","0","0","0","0","0"
"මධ්‍යම පලාත","","","දැඩි වර්ෂාව","","","","","","","","","","","",""
"","","Panvila","2019.11.09","2","4","","","","","2","","","","",""
"kj;jpa khfhzk","","","Heavy Rain","","","","","","","","","","","",""
"Central","මහනුවර","","","","","","","","","","","","","",""
"","","","අකුණුගැසීම","","","","","","","","","","","",""
"","5
fz;b","Thumpane","2019.11.11","1","5","","","","","1","","","","",""
"","","","Lightning","","","","","","","","","","","",""
"","Kandy","","","","","","","","","","","","","",""
"","","","Heavy Rain &","","","","","","","","","","","",""
"","","Delthota","2019.11.16","2","7","","","","","2","","","","",""
"","","","High Wind","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","5","16","0","0","0","0","5","0","0","0","0","0"
