"","","","","","","Page 3","","","","","","","","",""
"මධ්‍යම පලාත","","","","","","","","","","","","","","",""
"kj;jpa khfhzk;","","","","","","","","","","","","","","",""
"Central","","","","","","","","","","","","","","",""
"","","Yatawaththa","2020.12.02","6","16","","","","","6","","","","",""
"","","Dambulla","2020.12.03","5","14","","","","","5","","","","",""
"","","Mathale","2020.12.02","1","5","","","","","1","","","","",""
"","","Pallepola","2020.12.03","2","5","","","","","2","","","","",""
"","මාතනල්","","","","","","","","","","","","","",""
"","11
khj;jis","High Wind
Raththota","2020.12.02/03","5","19","","","","","5","","","","",""
"","Matale","","","","","","","","","","","","","",""
"","","Galewela","2020.12.02","4","17","","","","","4","","","","",""
"","","Ukuwela","2020.12.02","5","16","","","","","5","","","","",""
"","","Naula","2020.12.03","2","7","","","","","2","","","","",""
"","","Abangangakorale","2020.12.03","3","18","","","","","3","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","33","117","0","0","0","0","33","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","59","225","0","0","0","0","50","0","0","0","0","0"
"","","Puttalama","","481","1786","","","","","5","","","","",""
"","","Madampe","","23","55","","","","","1","1","","","",""
"","","Wanathawilluwa","","9","35","","","","","10","","","","",""
"","","High Wind
Kalpitiya","2020.12.03","189","596","","","","","17","5","","","",""
"","පුත්තලම","","","","","","","","","","","","","",""
"","12
Gj;jsk;","Karuwalagaswewa","","2","5","","","","","2","","","","",""
"වයඹ පලාත","","","","","","","","","","","","","","",""
"","Puttalam","","","","","","","","","","","","","",""
"tlNky;khfhzk","","Pallama","","1","4","","","","","1","1","","","",""
"North Western","","","","","","","","","","","","","","",""
"","","Mahawewa","","","5","","","","","","","","","",""
"","","Chilaw","2020.12.05","1534","6152","","","","","","1","","","",""
"","","Flood","","","","","","","","","","","","",""
"","","Arachchikattuwa","","81","279","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","2320","8917","0","0","0","0","36","8","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","2320","8917","0","0","0","0","36","8","0","0","0","0"
"","","Thambuththegama","","1","4","","","","","1","","","","",""
"","","Nochchiyagama","","5","18","","","","","4","1","","","",""
"","","Thalawa","2020.12.03","2","9","","","","1","1","","","","",""
"","","Palagala","","1","4","","","","","1","","","","",""
"","අනුරාධ්‍පුර m.Guk;","(Burevi) Cyclone
Rajanganaya","","2","7","","","","","2","","","","",""
"","13","","","","","","","","","","","","","",""
"","Anuradhapura","","2020.12.03","2","7","","","","","2","","","","",""
"","","Padawiya","","","","","","","","","","","","",""
"උතුරුමැද පලාත","","","2020.12.04","3","9","","","","","3","","","","",""
"tlkj;jpa","","","","","","","","","","","","","","",""
"","","E. Nuwaragampalatha","","2","6","","","","","2","","","","",""
"khfhzk;     North","","","2020.12.03","","","","","","","","","","","",""
"Central","","C. Nuwaragampalatha","","3","8","","","","","3","","","","",""
"","","Galenbidunuwewa
High Wind","2020.12.05","4","13","","","","","4","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","25","85","0","0","0","1","23","1","0","0","0","0"
"","නපානලාන්නරුව","","","","","","","","","","","","","",""
"","14
nghyd;dWit","Thamankaduwa
High Wind","2020.12.12","1","3","","","","","1","","","","",""
"","Polonnaruwa","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","1","3","0","0","0","0","1","0","0","0","0","0"
