"","","","","","","","Page 2","","","","","","","","",""
"","","Verugal","","","1","4","","","","1","","","","","",""
"","","Town & gravets","","","13","48","","","","","13","2","","","",""
"","","Kantale","","","3","10","","","","","3","","","","",""
"","","Seruvila","","","2","5","","","","","2","","","","",""
"","","Morawewa","","","3","9","","","","","3","","","","",""
"","ත්‍රීකුණාමලය","","","","","","","","","","","","","","",""
"","6
jp.kiy","Kuchchawele","(Burevi) Cyclone","2020.12.02","15","47","","","","","5","","","","",""
"නැනගනහිර පලාත","","","","","","","","","","","","","","","",""
"","Trincomalee","","","","","","","","","","","","","","",""
"fpof;F","","Muthur","","","3","6","","","","","3","","","","",""
"Eastern","","Kinniya","","","4","18","","","","","4","","","","",""
"","","Thambalagamuwa","","","13","33","","","","","11","1","","","",""
"","","Pathavisripura","","","20","81","","","","","20","","","","",""
"","","Gomarankadawala","","","2","4","","","","","2","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","79","265","0","0","0","1","66","3","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","79","265","0","0","0","1","66","3","0","0","0","0"
"","","Kegalle","","2020.12.03","1","4","","","","","2","","","","",""
"","","","","2020.12.02","1","5","","","","","1","","","","",""
"","","Aranayake","","","","","","","","","","","","","",""
"","","","","2020.12.03/04","2","10","","","","","","","","","",""
"","","Galigamuwa","High Wind","2020.12.03/04","30","124","","","","","30","","","","",""
"","","Bulathsinhala","","","1","3","","","","","","","","","",""
"","කෑගල්ල","","","2020.12.03","","","","","","","","","","","",""
"","7
Nffhiy","Warakapolo","","","8","30","","","","","6","","","","",""
"","Kegalle","","","","","","","","","","","","","","",""
"","","Mawanella","","2020.12.03/04","3","14","","","","","3","","","","",""
"","","","High Wind","2020.12.04","1","4","","","","","","","","","",""
"","","Dehiowita","","","","","","","","","","","","","",""
"","","","Lightning","2020.12.04","1","5","","","","","","","","","",""
"","","","High Wind","2020.12.04","2","9","","","","","2","","","","",""
"","","Warakapola","","","","","","","","","","","","","",""
"ස්ත්‍බරගමුව පලාත","","","Rock falean","2020.12.06","1","4","","","","","1","","","","",""
"rg;ufKt","","","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","51","212","0","0","0","0","45","0","0","0","0","0"
"Sabaragamuwa","","","","","","","","","","","","","","","",""
"","","","Tree falean","2020.12.02","1","5","","","","","1","","","","",""
"","","Ehaliyagoda","","","","","","","","","","","","","",""
"","","","","2020.12.03","1","5","","","","","1","","","","",""
"","","Godakawela","","2020.12.02","1","5","","","","","1","","","","",""
"","රත්නපුර","","","2020.12.02","4","16","","","","","4","","","","",""
"","8
,uj;jpdGhp","Pelmadulla","High Wind","","","","","","","","","","","","",""
"","Rathnapura","","","2020.12.02","2","4","","","","","2","","","","",""
"","","Kolonna","","2020.12.02","4","15","","","","","4","","","","",""
"","","Opanayake","","2020.12.03","1","4","","","","","1","","","","",""
"","","Rathnapura","Cutting Failure","2020.12.03","2","8","","","","","2","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","16","62","0","0","0","0","16","0","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","67","274","0","0","0","0","61","0","0","0","0","0"
"","","Passara","","2020.12.01","1","2","","","","","1","","","","",""
"","බදුල්ල","Welimada","","2020.12.01","1","2","","","","","1","","","","",""
"","9
gJs;is","","High Wind","","","","","","","","","","","","",""
"ඌව","","Ella","","2020.12.03","1","4","","","","","1","","","","",""
"","Badulla","","","","","","","","","","","","","","",""
"Cthkhfhzk","","","","","","","","","","","","","","","",""
"Uva","","Lunugala","","2020.12.03","1","9","","","","","1","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","4","17","0","0","0","0","4","0","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","4","17","0","0","0","0","4","0","0","0","0","0"
"","","Thumpane","","2020.12.02","2","4","","","","","2","","","","",""
"","","GangaIhalaKorale","","2020.12.02","3","13","","","","","3","","","","",""
"","","Harispattuwa","","2020.12.02","1","4","","","","","1","","","","",""
"","","Medadumbara","","2020.12.02","1","7","","","","","1","","","","",""
"","","Paathadumbara","","2020.12.03","1","3","","","","","1","","","","",""
"","","Udapalatha","","2020.12.03","1","5","","","","","1","","","","",""
"","මහනුවර","","","","","","","","","","","","","","",""
"","10
fz;b","Gangawatakorale","High Wind","2020.12.03","1","3","","","","","1","","","","",""
"","Kandy","","","","","","","","","","","","","","",""
"","","Udunuwara","","2020.12.03","1","4","","","","","1","","","","",""
"","","","","2020.12.02/03","2","5","","","","","2","","","","",""
"","","Yatinuwara","","","","","","","","","","","","","",""
"","","","","2020.12.03/04","2","10","","","","","2","","","","",""
"","","Akurana","","2020.12.03","9","40","","","","","","","","","",""
"","","Hatharaliyedda","","2020.12.03","1","5","","","","","1","","","","",""
"මධ්‍යම පලාත","","","","","","","","","","","","","","","",""
"kj;jpa khfhzk;","","Kundasale","","2020.12.02","1","5","","","","","1","","","","",""
"Central","","","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","26","108","0","0","0","0","17","0","0","0","0","0"
