"","Rathnapura","High Wind/Cutting Failure","2023.07.04","5","24","","","","","5","","","","","","",""
"","Kahawatta","High Wind","2023.07.04/05","14","57","","","","","14","","","","","","",""
"","Kolonna","High Wind","2023.07.04","3","13","","","","","3","","","","","","",""
"රත්නපුර","Weligepola","High Wind","2023.07.04","3","11","","","","","3","","","","","","",""
"1
,uj;jpdGhp","Ehaliyagoda","High Wind","2023.07.04","5","17","","","","","5","","","","","","",""
"Rathnapura","Kaltota","High Wind","2023.07.05","1","4","","","","","1","","","","","","",""
"","Pelmadulla","High Wind","2023.07.04","6","23","","","","","6","","","","","","",""
"","Ayagama","High Wind","2023.07.05","1","5","","","","","1","","","","","","",""
"","Kiriella","High Wind","2023.07.04","1","3","","","","","1","","","","","","",""
"","Opanayake","High Wind","2023.07.04/05","4","14","","","","","4","","","","","","",""
"","Elapatha","High Wind","2023.07.05","13","48","","","","","13","","","","","","",""
"","Godakawela","High Wind","2023.07.04/05","9","32","","","","","9","","","","","","",""
"සබරගමුව පලාත","","","","","","","","","","","","","","","","",""
"","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","95","357","0","0","0","0","95","","0","0","0","0","0",""
"rg;ufKt","","","","","","","","","","","","","","","","",""
"Sabaragamuwa","Aranayake","High Wind","2023.07.03/04","26","101","","","","","23","","1","","","","",""
"","Yatiyantota","High Wind","2023.07.03/04/05","11","40","","","","","11","","1","","","","",""
"","Deraniyagala","Cutting Failure","2023.07.02","1","4","","","","","1","","1","","","","",""
"","Warakapola","High Wind","2023.07.05/04","10","38","","","","","10","","","","","","",""
"කෑගල්ල","Mawanella","High Wind","2023.07.02/04","9","35","","","","","9","","","","","","",""
"2","","","","","","","","","","","","","","","","",""
"","Nffhiy  Kegalle
Kegalla","High Wind","2023.07.04","13","49","","","","","13","","","","","","",""
"","Dehiowita","High Wind","2023.07.04","2","9","","","","","2","","2","","","","",""
"","Bulathkohupitiya","High Wind","2023.07.04","16","66","","","","","15","","1","","","","",""
"","Rambukkana","High Wind","2023.07.04","2","5","","","","","2","","","","","","",""
"","Ruwanwella","High Wind","2023.07.04/05","3","10","","","","","3","","","","","","",""
"","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","93","357","0","0","0","0","89","","6","0","0","0","0",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","188","714","0","0","0","0","184","","6","0","0","0","0",""
"","Gomarankadawala","High Wind","2023.07.04","1","3","","","","","1","","","","","","",""
"","Verugal","High Wind","2023.07.04","22","74","","","","","22","","","","","","",""
"ත්‍රීකුණාමලය","","","","","","","","","","","","","","","","",""
"","Seruwila","High Wind","2023.07.04","26","98","","","","","25","","","","","","",""
"3
jp.kiy","","","","","","","","","","","","","","","","",""
"නැගගනහිර පලාත","","","","","","","","","","","","","","","","",""
"Trincomalee","Kantale","High Wind","2023.07.04","11","36","","5","","","11","","","","","","",""
"fpof;F","","","","","","","","","","","","","","","","",""
"Eastern","Town & Gravets","High Wind","2023.07.04","1","5","","","","","1","","","","","","",""
"","Muthur","High Wind","2023.07.04","11","40","","","","","10","","1","","","","",""
"","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","72","256","0","5","0","0","70","","1","0","0","0","0",""
