"","Weather Forecast for Main Cities","","","","12-Mar-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","36","23","90","40","Mainly fair"
"Batticaloa","31","26","85","65","A few showers"
"Colombo","31","26","85","55","Showers or thundershowers after 2.00p.m"
"Galle","32","26","85","70","Showers or thundershowers after 2.00p.m"
"Jaffna","34","24","60","50","Mainly fair"
"Kandy","33","22","90","35","Mainly fair"
"Nuwara-Eliya","23","17","45","35","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","36","23","95","50","Showers or thundershowers after 2.00p.m"
"Trincomalee","33","27","80","60","Mainly fair"
"Mannar","33","25","85","55","Mainly fair"
