"","Weather Forecast for Main Cities","","","Date :","16-Oct-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","23","95","65","Showers or thundershowers after 2.00p.m"
"Batticaloa","32","25","90","65","Showers or thundershowers after 2.00p.m"
"Colombo","31","24","95","70","Showers or thundershowers"
"Galle","29","25","95","80","Showers or thundershowers at times"
"Jaffna","31","24","95","70","Showers or thundershowers after 2.00p.m"
"Kandy","30","22","95","65","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","20","12","95","80","Showers or thundershowers after 2.00p.m"
"Ratnapura","33","24","95","70","Showers or thundershowers after 2.00p.m"
"Trincomalee","31","25","95","70","Showers or thundershowers are likely after 2.00p.m"
"Mannar","32","25","95","60","Showers or thundershowers after 2.00p.m"
