"බදුල්ල","","","","","","","","","","","","","","Drinking water is"
"4
Hali Ela
Drought
gJs;is","2024.03.31","50","190","","","","","","","","","","","being distributed for"
"ඌව","","","","","","","","","","","","","","drought areas"
"Badulla","","","","","","","","","","","","","",""
"Cth khfhzk;","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total
Uva","","50","190","0","0","0","0","0","0","0","0","0","0",""
"පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","50","190","0","0","0","0","0","0","0","0","0","0",""
"කිලිනනාච්චිය","","","","","","","","","","","","","","Drinking water is"
"5
Karachchi
Drought
fpspnehr;rp","2024.04.17","432","946","","","","","","","","","","","being distributed for"
"","","","","","","","","","","","","","","drought areas"
"Killinochchi","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","432","946","0","0","0","0","0","0","0","0","0","0",""
"උතුරු පලාත tl","","","","","","","","","","","","","",""
"යාපනය 
khfhzk; Northen ;","","","","","","","","","","","","","",""
"6
Uduvil
Highwind","2024.04.26","1","5","","","","","1","","","","","",""
"aho;g;ghzk; Jaffna","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","1","5","0","0","0","0","1","0","0","0","0","0",""
"පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","433","951","0","0","0","0","1","0","0","0","0","0",""
"ත්‍රීකුණාමලය","","","","","","","","","","","","","",""
"7
Muthur
Drought
jp.kiy   
නැනගනහිර පලාත","2024.04.22","464","1334","","","","","","","","","","",""
"Trincomalee","","","","","","","","","","","","","",""
"fpof;F","","","","","","","","","","","","","",""
"Eastern","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","464","1334","0","0","0","0","0","0","0","0","0","0",""
"පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","464","1334","0","0","0","0","0","0","0","0","0","0",""
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","4226","13142","0","1","0","0","3","0","0","0","0","0",""
