"","Division","","","","","","","Fully","","","","","","","",""
"","","","","","","","","","","Medium,","","critical","","of Safety","Families",""
"","","","","","","","","","","Enterprises","","Infrastructure","","Locations","",""
"","","","","","","","","","","Damages","","","","","",""
"ගම්පහ","","","","","","","","","","","","","","","","Drinking water is"
"","","2024.02.26 -","","","","","","","","","","","","","",""
"1","fk;g`h      
Diwulapitiya
Drought","","2487","7461","","","","","","","","","","","","being distributed for"
"Western","","2024.04.08","","","","","","","","","","","","","","drought areas"
"Gampaha","","","","","","","","","","","","","","","",""
"Nky; khfhzk;","","","","","","","","","","","","","","","",""
"බස්ත්‍රනාහිර පලාත","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","2487","7461","0","0","0","0","0","","0","","0","0","0","0"
"","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","2487","7461","0","0","0","0","0","","0","","0","0","0","0"
"","Warakapola","2024.03.11","56","271","","","","","","","","","","","",""
"","Ruwanwella","2024.03.11","110","550","","","","","","","","","","","",""
"","Yatiyanthota","2024.03.14","80","289","","","","","","","","","","","",""
"කෑගල්ල","","","","","","","","","","","","","","","","Drinking water is"
"2","Nffhiy     
Drought
Dareniyagala","2024.03.17","95","394","","","","","","","","","","","","being distributed for"
"","","","","","","","","","","","","","","","","drought areas"
"Kegalle","","","","","","","","","","","","","","","",""
"","Dehiovita","2024.03.19","160","672","","","","","","","","","","","",""
"ස්ත්‍බරගමුව පලාත","","","","","","","","","","","","","","","",""
"","Galigamuwa","2024.03.18/19","209","744","","","","","","","","","","","",""
"rg;ufKt","","","","","","","","","","","","","","","",""
"Sabaragamuwa","Kegalle","2024.03.15","80","280","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","790","3200","0","0","0","0","0","","0","","0","0","0","0"
"","Balangoda","2024.04.22","1","3","","1","","","1","","","","","","",""
"","රත්නපුර ,uj;jpdGhp","Heavy rain & High","","","","","","","","","","","","","",""
"3","","","","","","","","","","","","","","","",""
"Rathnapura","wind","","","","","","","","","","","","","","",""
"","Opanayake","2024.04.23","1","3","","","","","1","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","2","6","0","1","0","0","2","","0","","0","0","0","0"
"","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","792","3206","0","1","0","0","2","","0","","0","0","0","0"
