"","஫ாவட்டம்","","","","","","","","","","","sT","நிறுவனங்கரி","fl;likg;Gf;fs;","f   No.","",""
"","","","","","","","","","","KOik","","","","","","",""
"","District","DS Division","","","Families","People","","","g","","","","ன் சசதங்கள்;","","","fs;","Persons"
"","","","","","","","","People","","Fully","","Partiall","","Damages to","of Safety","",""
"","","","","","","","","","","","","","Small, Medium,","","","",""
"","","","","","","","","","People","","","","","","","Families",""
"","","","","","","","","","","","","y","","critical","Location","",""
"","","","","","","","","","","","","","Enterprises","","","",""
"","","","","","","","","","","","","","Damages","Infrastructure","s","",""
"","","","","2019.03.18","13","58","","","","","","13","","","1","2","13 Pettigala"
"","","","","2019.04.26","30","109","","","","","","30","","","1","23","80 pettigala ground"
"","","Balangoda","Landslide Risk","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","Heyaswatte Tamil"
"","","","","2019.04.26","9","34","","","","","","","","","1","9","34"
"","","","","","","","","","","","","","","","","","School- Kolonne"
"","","Kalawana","","2019.06.06","2","9","","","","","","2","","","","",""
"","රත්නපුර","","High wind/","","","","","","","","","","","","","",""
"","","","","2019.06.10","6","30","","","","","","6","","","","",""
"","1
,uj;jpdGhp","Kuruwita","Lightning","","","","","","","","","","","","","",""
"","","","","2019.06.09","11","46","","","","","","11","","","","",""
"","Rathnapura","","","","","","","","","","","","","","","",""
"","","Niwithigala","Cutting Failure","2019.06.10","1","5","","","","","","","","","","",""
"","","Eheliyagoda","","2019.06.09","15","60","","","","","","15","","","","",""
"","","Palmadulla","High wind/","2019.06.10","13","44","","","","","","13","","","","",""
"","","Balangoda","Lightning","2019.06.10","2","8","","","","","","2","","","","",""
"","","Nivithagala","","2019.06.12","4","11","","","","","","1","","","","",""
"","දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","","","106","414","0","0","0","","0","93","0","0","3","34","127"
"සබරගමුල ප඼෈ත","","","","","","","","","","","","","","","","",""
"rg;ufKt","","","","","","","","","","","","","","","","",""
"Sabaragamuwa","","","Drought","2019.04.15","50","155","","","","","","","","","","",""
"","","Kegalle","","","","","","","","","","","","","","",""
"","","","Tree Fallen","2019.06.08/10","2","9","","","","","","2","","","","",""
"","","Daraniyagala","High wind","2019.06.09/10","9","81","","","","","","9","","","","",""
"","ක්ගල්඼","","High wind/","","","","","","","","","","","","","",""
"","","Ruwanwella","","","11","46","","2","","","","7","","","","",""
"","Nffhiy       
2","","Lightning","","","","","","","","","","","","","",""
"","Kegalle","Yatiyantota","","","13","49","","","","","","13","","","","",""
"","","Bulathkohupitiya","","","13","60","","","","","","13","","","","",""
"","","","","2019.06.09","","","","","","","","","","","","",""
"","","Mawanella","","","3","4","","","","","","3","","","","",""
"","","","High wind","","","","","","","","","","","","","",""
"","","Aranayaka","","","9","32","","","","","","9","","","","",""
"","","Dehiowita","","","7","21","","","","","","7","","","","",""
