"","மாவட்டம் District","","","","Families","People","","","","","Partially","சேதங்கள்; Small,","Damages to","f   No.","s;","Persons",""
"","","Division","","","","","","","","Fully","","","","","","",""
"","","","","","","","","","","","","Medium,","critical","of Safety","Families","",""
"","","","","","","","","","","","","Enterprises","Infrastructure","Locations","","",""
"","","","","","","","","","","","","Damages","","","","",""
"","","","","","","","","","","","","","","","","","42 people from 09 families"
"","","Haputale","Landslide Risk","2022.11.27","9","42","","","","","9","","","","","","have been sent to relative"
"","","","","","","","","","","","","","","","","","homes."
"","බදුල්ල","Haldumulla","Cutting Faliure","2022.11.26","2","12","","","","","2","","","","","",""
"","1","","","","","","","","","","","","","","","",""
"ඌෙ","","","","","","","","","","","","","","","","",""
"","gJs;is   Badulla","","","","","","","","","","","","","","","",""
"","","Uva Paranagama","Heavy Rain","2022.11.27","1","4","","","","","1","","","","","",""
"Cth khfhzk","","","","","","","","","","","","","","","","",""
"Uva","","Welimada","High Wind","2022.11.28","1","2","","","","","1","","","","","",""
"","","Mahiyanganaya","High Wind & Rain","2022.11.26","1","4","","","","","1","","","","","",""
"","","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","14","64","0","0","0","0","14","0","0","0","0","0",""
