"","Weather Forecast for Main Cities","","","Date :","16-Jun-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","31","24","90","65","A few showers"
"Batticaloa","35","27","75","55","Mainly fair"
"Colombo","30","23","95","70","Several spells of showers"
"Galle","30","25","95","75","Several spells of showers"
"Jaffna","32","28","80","70","A few showers"
"Kandy","29","21","95","80","Showers at times"
"Nuwara-Eliya","16","14","95","85","Showers at times"
"Ratnapura","33","23","95","80","Showers at times"
"Trincomalee","34","23","85","60","A few showers"
"Mannar","32","28","85","70","A few showers"
