"gpuNjr nra.gp    
மாவட்டம்","","","egHfs;","","","","","","","","fl;likg;Gf;fs;","","vz;zpf;i","FLk;gq;f","","egHfs;"
"","","FLk;gq;fs;","","","","People","People","KOik","T","ளின்","","","","","",""
"","","","People","","","","","","","","Damages to","","f   No.","s;","","Persons"
"DS Division
District","","Families","","","","","","Fully","Partially","சேதங் கள்","","","","","",""
"","","","","","","","","","","","critical","","of Safety","Families","",""
"","","","","","","","","","","Small, Medium,","","","","","",""
"","","","","","","","","","","","Infrastructure","","Locations","","",""
"","","","","","","","","","","Enterprises","","","","","",""
"","","","","","","","","","","Damages","","","","","",""
"Udunuwara","2021.09.06","1","","4","","","","","1","","","","","","",""
"","Heavy Rain & High","","","","","","","","","","","","","","",""
"Harispaththuwa","2021.09.04","1","","4","","","","","1","","","","","","",""
"නුෙර          fz;b 
Wind","","","","","","","","","","","","","","","",""
"1","","","","","","","","","","","","","","","",""
"මධයම පලාත  
    Kandy","","","","","","","","","","","","","","","",""
"Thumpane","2021.09.04","1","","5","","","","","1","","","","","","",""
"kj;jpa","","","","","","","","","","","","","","","",""
"khfhzk; 
Kundasale
Rock Fallen","2021.09.04","1","","4","","","","","1","","","","","","",""
"Central","","","","","","","","","","","","","","","",""
"දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","4","","17","0","0","0","0","4","0","","0","0","","0","0"
"පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","4","","17","0","0","0","0","4","0","","0","0","","0","0"
"අම්පාර/mk;ghiw/","","","","","","","","","","","","","","","",""
"2
Damana
 High Wind","2021.09.10","45","","","","","","","45","","","","","","",""
"Ampara","","","","","","","","","","","","","","","",""
"නැවෙනහිර","","","","","","","","","","","","","","","",""
