"","","","","Date :","10-Feb-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","32","22","95","55","Mainly fair"
"Batticaloa","31","23","90","70","Mainly fair"
"Colombo","33","23","85","50","Mainly fair"
"Galle","31","24","85","60","Mainly fair"
"Jaffna","30","21","85","65","Mainly fair"
"Kandy","30","20","90","55","Mainly fair"
"Nuwara-Eliya","21","12","90","50","Mainly fair"
"Ratnapura","35","19","90","45","Mainly fair"
"Trincomalee","30","25","85","65","Mainly fair"
"Mannar","31","26","85","60","Mainly fair"
