"","උෂ්ණත්වය(සස. අංශක)","","","සාසේක්ෂ ආර්ද්‍රතාවය(%)",""
"නගරය","","","","","කාලගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","36","26","90","55","ප්‍රධාන වශයයන් වැසි රහිත"
"මඩකලපුව","31","26","95","75","සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති  විය හැක"
"යකාළඹ","32","26","85","70","සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති  විය හැක"
"ගාල්ල","31","26","90","75","සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති  විය හැක"
"යාපනය","33","26","95","60","ප්‍රධාන වශයයන් වැසි රහිත"
"මහනුවර","33","22","95","65","සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති යේ"
"නුවරඑළිය","23","11","95","70","සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති  විය හැක"
"රත්නපුරය","36","24","95","75","සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති යේ"
"ත්‍රිකුණාමලය","34","25","90","60","ප්‍රධාන වශයයන් වැසි රහිත"
"මන්නාරම","35","26","90","65","සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති  විය හැක"
