"පේධ්‍තිබේ පුබරෝකථන මාර්ගය සහ පේධ්‍තිබේ තීවෘතාවය","","",""
"දිනය/බේලාව)","ස
්ථානය","උපරිම සුළබේ බේගය (පැයට කි. මි.)","කැළඹිලි ස්වභාවය"
"(ශ්‍රි ලෙංකා පැය)","(උතුරු අක්්ාෙංශ oN","",""
"","නැබගනහිර බේශාෙංශ  oE)","",""
"","10.5/82.5","55-65 විටිේ විට 75 දක්වො","ගැඹුරු පීඩන අවෙොතයක්"
"29.11.24/0530","","",""
"","11.0/81.9","55-65 විටිේ විට 75 දක්වො","ගැඹුරු පීඩන අවෙොතයක්"
"29.11.24/1130","","",""
"","11.3/81.3","55-65 විටිේ විට 75 දක්වො","ගැඹුරු පීඩන අවෙොතයක්"
"29.11.24/1730","","",""
"","11.6/80.6","","ගැඹුරු පීඩන අවෙොතයක්"
"29.11.24/2330","","50-60 විටිේ විට 70 දක්වො",""
"","11.9/79.7","","පීඩන අවෙොතයක්"
"30.11.24/1130","","45-55 විටිේ විට 65 දක්වො",""
"","12.2/78.7","","අඩු පීඩන කලොෙයක්"
"30.11.24/2330","","40-50 විටිේ විට 60 දක්වො",""
