"","","Several spells of","Several spells of","Showers or"
"","","showers","showers","thundershowers"
"","Hambanthota","","",""
"","","","","during the evening"
"","","","","or night."
"","","Several spells of","",""
"","","","Showers or","Showers or"
"","","showers","",""
"","","","thundershowers","thundershowers"
"","Monaragala","","",""
"","","","during the evening or","during the evening"
"","","","night.","or night."
"Uva","","","",""
"","","Several spells of","",""
"","","","Showers or","Showers or"
"","","showers","",""
"","","","thundershowers","thundershowers"
"","Badulla","","",""
"","","","during the evening or","during the evening"
"","","","night.","or night."
"","","","Several spells of",""
"","","","","Showers or"
"","","","showers",""
"","","","","thundershowers"
"","Kurunegala","Showers at times","",""
"","","","","during the evening"
"","","","","or night."
"North-western","","","",""
"","","","Several spells of",""
"","","","","Showers or"
"","","","showers",""
"","","","","thundershowers"
"","Puttalam","Showers at times","",""
"","","","","during the evening"
"","","","","or night."
"","","","Several spells of","Showers or"
"","","","showers","thundershowers"
"","Kandy","Showers at times","",""
"","","","","during the evening"
"","","","","or night."
"","","","Several spells of","Showers or"
"","","","showers","thundershowers"
"","Nuwara-Eliya","Showers at times","",""
"Central","","","",""
"","","","","during the evening"
"","","","","or night."
"","","","Several spells of",""
"","","","showers",""
"","","","","Several spells of"
"","Matale","Showers at times","",""
"","","","","showers"
