"","Weather Forecast for Main Cities","","","","25-Jun-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","33","26","90","60","Mainly fair"
"Batticaloa","34","27","75","60","Mainly fair"
"Colombo","32","26","80","70","Showers at times"
"Galle","29","25","90","80","Showers at times"
"Jaffna","32","28","80","70","Mainly fair"
"Kandy","28","24","90","70","Showers at times"
"Nuwara-Eliya","18","15","95","85","Showers at times"
"Ratnapura","31","24","95","80","Showers at times"
"Trincomalee","34","27","80","50","Mainly fair"
"Mannar","31","28","90","75","Mainly fair"
