"","Weather Forecast for Main Cities","","","Date :","30-Aug-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","85","50","Mainly fair"
"Batticaloa","36","26","80","45","Showers or thundershowers are likely after 2.00p.m"
"Colombo","30","25","90","70","Several spells of showers"
"Galle","29","25","90","80","Several spells of showers"
"Jaffna","32","27","85","60","Mainly fair"
"Kandy","30","23","90","60","Several spells of showers"
"Nuwara-Eliya","18","14","95","80","Several spells of showers"
"Ratnapura","33","24","95","60","Several spells of showers"
"Trincomalee","35","26","80","45","Mainly fair"
"Mannar","32","27","90","70","Mainly fair"
