"","තත්ත්ව වාර්තාව  - ශ්‍රී ලංකාව / epiyik mwpf;if - ,yq;if/   Situation Report- Sri Lankaදිනය /jpfjp / Date : 15th March 2021 at 1800hrs","","","","","","","","","","","","","","","",""
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","2","7","0","0","0","0","2","","0","0","0","0","0"
"","","යාපනය 
Nallur","Fire","2021.03.11","1","5","","","","","1","","","","","",""
"","5","aho;g;ghzk;","","","","","","","","","","","","","","",""
"උතුරු පලාත","","Sandilippay","High wind","2021.03.12","1","2","","","","","1","","","","","",""
"","","Jaffna","","","","","","","","","","","","","","",""
"tl khfhzk","","","","","","","","","","","","","","","","",""
"Northen","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","2","7","0","0","0","0","2","","0","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","2","7","0","0","0","0","2","","0","0","0","0","0"
"","","පුත්තලම      
Karuwalagaswewa","","","1","6","","","","","1","","","","","",""
"වයඹ පලාත","6","Gj;jsk;","High Wind","2021.03.10","","","","","","","","","","","","",""
"tlNky;khfh","","Dankotuwa
Puttalam","","","1","3","","","","","1","","","","","",""
"zk;North","","","","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","2","9","0","0","0","0","2","","0","0","0","0","0"
"Western","","","","","","","","","","","","","","","","",""
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","2","9","0","0","0","0","2","","0","0","0","0","0"
