"","","","","","Page 2","","","",""
"","","","Lightning/ High Wind
2021.03.08
2","7","","","","","2"
"","","Ehaliyagoda","","","","","","",""
"","","Fire","2021.03.11
1","4","","","","","1"
"","","රත්නපුර   
Kalawana
High Wind","2021.03.11
3","8","","","","","3"
"ස්ත්‍බරෙමුව පලාත","7",",uj;jpdGhp","","","","","","",""
"","","Pelmadulla
High Wind","2021.03.11
2","7","","","","","2"
"rg;ufKt","","Rathnapura","","","","","","",""
"Sabaragamuw","","","","","","","","",""
"","","Kahawatta
High Wind","2021.03.13
2","7","","","","","2"
"a","","","","","","","","",""
"","","Kiriella","Lightning/ High Wind
2021.03.14
3","11","","","","","3"
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","13","44","0","0","0","0","13"
