"","","","Islandwide Water Level & Rainfall Situation in Major Rivers","","","","","","","",""
"DATE :","27-Sep-2025","","","","","","","TIME :","6:30 AM","",""
"","","","Gauging Station","","","","","","","",""
"","","","","","","","","","","Water",""
"","","","","","","","Water","Water","","","21 Hr RF"
"","","","","","Minor","Major","","","","Level",""
"River Basin","Tributory/River","","","Alert","","","Level at","Level at","Remarks","","in mm at"
"","","Station","Unit","","Flood","Flood","","","","Rising or",""
"","","","","Level","","","5:00 AM","6:00 AM","","","6:00 AM"
"","","","","","Level","Level","","","","Falling",""
"","Kelani Ganga","Nagalagam Street","ft","4.00","5.00","7.00","3.40","3.10","Normal","","-"
"","Kelani Ganga","Hanwella","m","7.00","8.00","10.00","3.91","3.89","Normal","","9.2"
"","Kelani Ganga","Glencourse","m","15.00","16.50","19.00","11.82","11.75","Normal","","8.7"
"Kelani Ganga","","","","","","","","","","",""
"","Kelani Ganga","Kithulgala","m","3.00","4.00","6.00","1.92","1.96","Normal","","37.4"
"(RB 01)","","","","","","","","","","",""
"","Gurugoda Oya","Holombuwa","m","3.00","3.40","5.00","0.94","0.84","Normal","","28.6"
"","Seethawaka Ganga","Deraniyagala","m","4.80","5.80","6.40","1.65","1.53","Normal","","50.7"
"","Kehelgamu Oya","Norwood","m","1.50","3.00","4.50","0.80","0.80","Normal","","11.7"
"","Kalu Ganga","Putupaula","m","3.00","4.00","5.00","2.25","2.29","Normal","","6.4"
"","Kalu Ganga","Ellagawa","m","10.00","10.70","12.20","8.35","8.35","Normal","","31.3"
"Kalu Ganga","","","","","","","","","","",""
"","Kalu Ganga","Rathnapura","m","5.20","7.50","9.50","4.38","4.30","Normal","","13.7"
"(RB 03)","","","","","","","","","","",""
"","Maguru Ganga","Magura","m","4.00","6.00","7.50","3.16","2.98","Normal","","3.8"
"","Kuda Ganga","Kalawellawa (Millakanda)","m","5.00","6.50","8.00","5.75","5.74","Alert","Falling","17.1"
"","Gin Ganga","Baddegama","m","3.50","4.00","5.00","3.37","3.35","Normal","","0.0"
"Gin Ganga","","","","","","","","","","",""
"(RB 09)","","","","","","","","","","",""
"","Gin Ganga","Thawalama","m","4.00","6.00","7.50","2.33","2.26","Normal","","0.0"
"","Nilwala Ganga","Thalgahagoda","m","1.40","1.70","2.80","1.17","1.17","Normal","","8.5"
"","Nilwala Ganga","Panadugama","m","5.00","6.00","7.50","4.62","4.62","Normal","","11.4"
"Nilwala Ganga","","","","","","","","","","",""
"(RB 12)","","","","","","","","","","",""
"","Nilwala Ganga","Pitabeddara","m","4.00","5.00","6.50","1.37","1.29","Normal","","3.8"
"","Urubokka Ganga","Urawa","m","2.50","4.00","6.00","0.52","0.47","Normal","","5.2"
"","Maha Oya","Badalgama","m","5.00","6.20","9.60","2.35","2.37","Normal","","19.8"
"Maha Oya","","","","","","","","","","",""
"(RB 102)","","","","","","","","","","",""
"","Maha Oya","Giriulla","m","5.50","6.50","7.50","1.33","1.34","Normal","","47.1"
"Attanagalu Oya","","","","","","","","","","",""
"","Attanagalu Oya","Dunamale","m","3.30","4.40","5.50","1.21","1.20","Normal","","17.4"
"(RB 103)","","","","","","","","","","",""
