"","Weather Forecast for Main Cities","","","","8-Feb-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","32","21","90","60","Mainly fair"
"Batticaloa","29","23","90","75","Mainly fair"
"Colombo","31","23","90","70","Mainly fair"
"Galle","30","23","95","65","Mainly fair"
"Jaffna","31","24","90","70","Mainly fair"
"Kandy","31","18","95","65","Mainly fair"
"Nuwara-Eliya","21","12","90","60","Mainly fair"
"Ratnapura","33","22","95","65","Mainly fair"
"Trincomalee","31","25","80","60","Mainly fair"
"Mannar","32","24","80","60","Mainly fair"
