"","Weather Forecast for Main Cities","","","","21-Feb-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","23","90","50","Mainly fair"
"Batticaloa","31","26","90","70","Mainly fair"
"Colombo","33","24","85","50","Mainly fair"
"Galle","34","25","85","70","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","32","24","85","65","Mainly fair"
"Kandy","32","21","85","50","Mainly fair"
"Nuwara-Eliya","21","9","75","45","Mainly fair"
"Ratnapura","35","23","95","45","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","32","24","80","60","Mainly fair"
"Mannar","33","24","90","65","Mainly fair"
