"","","","","Page 5","","","","","","","","","",""
"","","2019.11.30-","","","","","","","","","","","",""
"","Katuwana","","5","18","","","","","5","","","","",""
"","","2019.12.03","","","","","","","","","","","",""
"","Thissamaharamaya","2019.11.29/30","14","62","","","","","2","","","","",""
"","Sooriyawewa
හම්බන්මතොට","2019.12.03","2","7","","","","","2","","","","",""
"දකුනු පලොත","","","","","","","","","","","","","",""
"19","`k;ghe;Njhl;ilH","Heavy Rain","","","","","","","","","","","",""
"","Walasmulla","2019.12.01","4","19","","","","","4","","","","",""
"njd; khfhzk;","","","","","","","","","","","","","",""
"","ambantota","","","","","","","","","","","","",""
"Southern","Thangalla","2019.12.02","1","6","","","","","","","","","",""
"","Hambantota","2019.12.05","11","38","","","","","11","","","","",""
"","Weeraketiya","2019.12.02","3","11","","","","","1","2","","","",""
"","Belliattha","2019.12.03","1","3","","","","1","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif/District Total","","41","164","0","0","0","1","25","2","0","0","0","0"
"","Kotapola","","4","9","","","","","4","","","","",""
"","ොතර","","","","","","","","","","","","",""
"","Hakmana","2019.12.03 -","2","8","","","","","2","","","","",""
"20","khj;jiw","Heavy Rain","","","","","","","","","","","",""
"","Kamburupitiya","2019.12.05","1","4","","","","","1","","","","",""
"","Matara","","","","","","","","","","","","",""
"","Kirinda","","1","4","","","","","1","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","8","25","0","0","0","0","8","0","0","0","0","0"
